Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.4),571,754,0.7350260416666666,0.6087533156498673,0.8038528896672504,0.6928301886792453,0.7608436761832024,0.8241554222661815
Qal (0.47),949,1301,0.6666666666666666,0.6679477325134512,0.9157007376185459,0.7724444444444445,0.8360878201964388,0.7516115771465705
Qaf (0.27),13,75,0.9466145833333334,0.04,0.23076923076923078,0.06818181818181818,0.054955813829361856,0.8435779584827516
Qat (0.32),61,159,0.8958333333333334,0.18867924528301888,0.4918032786885246,0.2727272727272727,0.19303897324755337,0.8259961100305641
Qc (0.57),749,699,0.8802083333333334,0.9041487839771102,0.8437917222963952,0.8729281767955801,0.9615806830706763,0.9602570475161292
Qca (0.44),432,587,0.7962239583333334,0.6013628620102215,0.8171296296296297,0.6928361138370952,0.7802379861500316,0.8807975207997852
Qr (0.49),1433,1502,0.935546875,0.9440745672436751,0.9895324494068388,0.9662691652470188,0.9892119232884093,0.8700600952580979
