model,r2,pcc,srcc,krcc
resnet18,0.13176789496257965,0.3629984779066982,0.4051383399209486,0.2949494949494949
resnet50,0.20199394150738098,0.4494373610497696,0.48313570487483526,0.3353535353535353
swin,0.23543585607380038,0.48521732870312906,0.5391304347826087,0.3757575757575757
vit,0.3148777063467222,0.5611396495942184,0.5430830039525691,0.3757575757575757
