model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet50,prc-ms,Qr,0.4173783,1433,1477,0.957345971563981,0.9867411025819958,0.9718213058419244,0.9392611061050548,0.995274158510314,0.9466145833333334,1511,1532,0.9862924281984334,1.0,0.9930989155438712,0.8698874917273329,0.9972733238634672,0.986328125
resnet50,s-ms,af1,0.29039022,571,585,0.6786324786324787,0.6952714535901926,0.6868512110726643,0.8211518742683955,0.7751159711564086,0.7643229166666666,435,523,0.5793499043977055,0.696551724137931,0.6325678496868476,0.8205643772119392,0.673299978617584,0.7708333333333334
resnet50,s-ms,Qal,0.36897865,950,1069,0.7455565949485501,0.8389473684210527,0.7894997523526498,0.8205370935872103,0.8900423655514177,0.7233072916666666,845,1290,0.5775193798449613,0.8816568047337278,0.6978922716627635,0.6737170210397416,0.7478566371333438,0.580078125
resnet50,s-ms,Qaf,0.04704124,13,33,0.1212121212121212,0.3076923076923077,0.1739130434782608,0.8364058790848022,0.1050080910404165,0.9752604166666666,6,7,0.0,0.0,0.0,0.7113289760348583,0.0074405286120863,0.9915364583333334
resnet50,s-ms,Qat,0.11125645,61,151,0.2317880794701986,0.5737704918032787,0.330188679245283,0.8745984995832174,0.2168344083242556,0.9075520833333334,77,91,0.3076923076923077,0.3636363636363636,0.3333333333333333,0.8051770025724789,0.247579706206366,0.9270833333333334
resnet50,s-ms,Qc,0.45601606,749,747,0.9143239625167336,0.9118825100133512,0.9131016042780749,0.9736947017878984,0.9760881336827631,0.9153645833333334,456,567,0.7707231040564374,0.9583333333333334,0.8543499511241447,0.9800661955815464,0.960527327504996,0.9029947916666666
resnet50,s-ms,Qca,0.43526724,432,479,0.7515657620041754,0.8333333333333334,0.7903402854006586,0.9412322195383788,0.8846654402108545,0.8756510416666666,249,390,0.5666666666666667,0.8875502008032129,0.6917057902973396,0.9397465542043856,0.7119790274476232,0.8717447916666666
resnet50,s-ms,Qr,0.49089155,1433,1477,0.955991875423155,0.9853454291695743,0.970446735395189,0.9360158266654924,0.994941963134965,0.9440104166666666,1511,1530,0.984313725490196,0.9966909331568498,0.9904636632686616,0.8325082726671079,0.996085384250642,0.9811197916666666
resnet50,sds-ms,af1,0.2326735,571,780,0.6089743589743589,0.8318739054290718,0.7031828275351591,0.8405070642360009,0.7835573835227728,0.7389322916666666,435,764,0.4777486910994764,0.8390804597701149,0.6088407005838199,0.8246651424514809,0.672890110481571,0.6946614583333334
resnet50,sds-ms,Qal,0.41757998,950,1138,0.7126537785588752,0.8536842105263158,0.7768199233716475,0.7569840129333574,0.8422270329210366,0.6966145833333334,845,1284,0.5693146417445483,0.8650887573964497,0.6867073743541569,0.6046549465229194,0.6786976452720273,0.5657552083333334
