model,input,r2,pcc,srcc,krcc
resnet18,ep-ms+prc-ms+s-ms,0.1804060305276972,0.41383231751182636,0.5846544227871212,0.4089670097571538
resnet50,ep-ms+prc-ms+s-ms,0.16792826089492424,0.3975022842764058,0.5052192763214622,0.3453903454858641
swin,ep-ms+s-ms,0.15400399103415013,0.36639215602810016,0.5099157515619469,0.3604937250339126
vit,ep-ms+s-ms+sds-ms,0.13642587356661953,0.3402672539904851,0.48923237702150296,0.3506232398990465
