model,r2,pcc,srcc,krcc
resnet18,0.9272155542059018,0.96279502616512,0.9332298136645965,0.8302277432712216
resnet50,0.9289900573593263,0.963756593415771,0.9309006211180126,0.8281573498964805
swin,0.9257186800201794,0.9619968726997901,0.9293478260869567,0.8240165631469981
vit,0.9423661127022668,0.9706511459343983,0.9433229813664599,0.8530020703933748
