Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.41),571,704,0.7506510416666666,0.6335227272727273,0.7810858143607706,0.6996078431372549,0.801309605228895,0.8427955681787247
Qal (0.43),949,1043,0.73046875,0.7564717162032598,0.8314014752370916,0.7921686746987951,0.8929336428550032,0.8232596672189681
Qaf (0.56),13,12,0.986328125,0.16666666666666666,0.15384615384615385,0.16,0.08883611578069452,0.8674175463407243
Qat (0.27),61,190,0.888671875,0.21052631578947367,0.6557377049180327,0.3187250996015936,0.3728230562571836,0.8976604612392332
Qc (0.5),749,793,0.8776041666666666,0.8537200504413619,0.9038718291054739,0.8780804150453956,0.9569630694117944,0.9544025664036588
Qca (0.55),432,416,0.8658854166666666,0.7716346153846154,0.7430555555555556,0.7570754716981132,0.8404634800353612,0.9199543746645197
Qr (0.44),1433,1459,0.93359375,0.9561343385880741,0.9734822051639916,0.9647302904564315,0.9937454989427044,0.9199588073089926
