Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.4),571,807,0.6471354166666666,0.5179677819083024,0.7320490367775832,0.6066763425253991,0.6884813261589601,0.7419616525865902
Qal (0.41),949,1495,0.6341145833333334,0.6294314381270903,0.9915700737618546,0.7700490998363339,0.8187323375921147,0.7166200232289706
Qaf (0.27),13,30,0.9733072916666666,0.03333333333333333,0.07692307692307693,0.046511627906976744,0.02021607470104306,0.6925097227132683
Qat (0.41),61,9,0.9544270833333334,0.0,0.0,0.0,0.11175529824477294,0.8217060294526257
Qc (0.45),749,857,0.8359375,0.7899649941656943,0.9038718291054739,0.8430884184308842,0.9459316364548419,0.9410005377776043
Qca (0.44),432,477,0.7962239583333334,0.6247379454926625,0.6898148148148148,0.6556655665566556,0.6803114586825064,0.8608574040526034
Qr (0.48),1433,1509,0.9283854166666666,0.9383697813121272,0.9881367759944173,0.9626104690686608,0.9924379202400666,0.9027703439725201
