Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.4),435,679,0.578125,0.3431516936671576,0.535632183908046,0.41831238779174146,0.3923159300437544,0.5960453923810121
Qal (0.41),845,1535,0.55078125,0.5504885993485342,1.0,0.7100840336134454,0.5669212749194956,0.533482903604244
Qaf (0.27),6,6,0.9921875,0.0,0.0,0.0,0.00461663170510843,0.3222222222222222
Qat (0.41),77,1,0.94921875,0.0,0.0,0.0,0.04978156270396393,0.46833358553714954
Qc (0.45),456,829,0.728515625,0.5235223160434258,0.9517543859649122,0.6754863813229572,0.8674109840396524,0.9322226283300844
Qca (0.44),249,253,0.875,0.6126482213438735,0.6224899598393574,0.6175298804780877,0.5545534179665748,0.8819083638360747
Qr (0.48),1511,1536,0.9837239583333334,0.9837239583333334,1.0,0.9917952084017067,0.9889297734528864,0.6222634017207147
