Class,True,Predicted,Accuracy,Precision,Recall,F1,AUC,AP
af1 (0.52),4.0,0.0,0.75,0.0,0.0,0.0,0.625,0.34851190476190474
Qal (0.56),11.0,4.0,0.5625,1.0,0.36363636363636365,0.5333333333333333,0.8181818181818182,0.9242229992229992
Qaf (0.3),1.0,0.0,0.9375,0.0,0.0,0.0,0.9333333333333333,0.5
Qat (0.2),3.0,0.0,0.8125,0.0,0.0,0.0,0.9487179487179488,0.8055555555555556
Qc (0.43),5.0,4.0,0.4375,0.0,0.0,0.0,0.036363636363636355,0.20945970695970695
Qca (0.42),2.0,4.0,0.625,0.0,0.0,0.0,0.07142857142857145,0.10096153846153846
Qr (0.61),16.0,16.0,1.0,1.0,1.0,1.0,,1.0
