Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.48),571,476,0.7454427083333334,0.6890756302521008,0.574430823117338,0.626552053486151,0.7493036071019283,0.8084426013810877
Qal (0.95),949,8,0.3821614583333333,0.5,0.004214963119072708,0.008359456635318705,0.782873472272159,0.6974363761369899
Qaf (0.0),13,1519,0.01953125,0.008558262014483212,1.0,0.016971279373368148,0.10277371309447009,0.8566594272438002
Qat (0.37),61,68,0.9381510416666666,0.25,0.2786885245901639,0.26356589147286824,0.21189547055841626,0.8331758821894971
Qc (0.65),749,463,0.7552083333333334,0.9028077753779697,0.5580774365821095,0.6897689768976898,0.8558101019669919,0.8606256881263117
Qca (0.51),432,281,0.7897135416666666,0.693950177935943,0.4513888888888889,0.5469845722300141,0.6621638375848513,0.8369313607085347
Qr (0.53),1433,1507,0.9296875,0.9396151293961513,0.9881367759944173,0.963265306122449,0.9732267711968614,0.784761414372726
