modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
aerial_rgb,0.7604166666666666,0.669921875,0.9088541666666666,0.919921875,0.8209635416666666,0.7486979166666666,0.931640625,0.8229166666666667
dem,0.7884114583333334,0.7545572916666666,0.935546875,0.9244791666666666,0.8912760416666666,0.8463541666666666,0.9329427083333334,0.8676525297619048
ep_5x5,0.7506510416666666,0.73046875,0.986328125,0.888671875,0.8776041666666666,0.8658854166666666,0.93359375,0.8618861607142857
ep_11x11,0.8092447916666666,0.751953125,0.9720052083333334,0.9088541666666666,0.8697916666666666,0.8697916666666666,0.9303385416666666,0.873139880952381
ep_21x21,0.783203125,0.7330729166666666,0.9641927083333334,0.923828125,0.8802083333333334,0.8541666666666666,0.927734375,0.8666294642857143
ep_51x51,0.7858072916666666,0.7376302083333334,0.9420572916666666,0.9309895833333334,0.8391927083333334,0.8092447916666666,0.927734375,0.8532366071428571
ep_101x101,0.7981770833333334,0.7545572916666666,0.935546875,0.9348958333333334,0.8385416666666666,0.8229166666666666,0.9361979166666666,0.8601190476190477
ep_201x201,0.8157552083333334,0.7578125,0.9752604166666666,0.8990885416666666,0.853515625,0.8645833333333334,0.9244791666666666,0.8700706845238094
ep_ms,0.783203125,0.7721354166666666,0.9778645833333334,0.9205729166666666,0.8463541666666666,0.8645833333333334,0.94140625,0.8723028273809523
nhd,0.3782552083333333,0.6171875,0.9609375,0.9251302083333334,0.5201822916666666,0.455078125,0.9186197916666666,0.6821986607142857
osm,0.6888020833333334,0.64453125,0.6295572916666666,0.48046875,0.6080729166666666,0.5475260416666666,0.9329427083333334,0.6474144345238094
plancurv,0.3723958333333333,0.6171875,0.92578125,0.53515625,0.486328125,0.28125,0.931640625,0.5928199404761905
plancurv_10,0.3723958333333333,0.6204427083333334,0.4791666666666667,0.5546875,0.486328125,0.2786458333333333,0.9322916666666666,0.5319940476190477
plancurv_20,0.373046875,0.6178385416666666,0.9837239583333334,0.87109375,0.4876302083333333,0.28125,0.9329427083333334,0.6496465773809524
plancurv_50,0.384765625,0.6184895833333334,0.8639322916666666,0.7799479166666666,0.4876302083333333,0.28125,0.9309895833333334,0.621000744047619
plancurv_100,0.3873697916666667,0.6165364583333334,0.4407552083333333,0.0735677083333333,0.4895833333333333,0.28125,0.9329427083333334,0.46028645833333337
plancurv_200,0.3873697916666667,0.6178385416666666,0.849609375,0.7845052083333334,0.4876302083333333,0.2825520833333333,0.9322916666666666,0.6202566964285714
plancurv_ms,0.3723958333333333,0.6178385416666666,0.8938802083333334,0.0436197916666666,0.4876302083333333,0.341796875,0.9329427083333334,0.5271577380952381
procurv,0.375,0.6171875,0.9765625,0.2897135416666667,0.4869791666666667,0.28125,0.9329427083333334,0.5656622023809523
procurv_10,0.44921875,0.619140625,0.6829427083333334,0.7154947916666666,0.4876302083333333,0.28125,0.9322916666666666,0.5954241071428571
procurv_20,0.3717447916666667,0.609375,0.974609375,0.76171875,0.48828125,0.28125,0.9329427083333334,0.6314174107142857
procurv_50,0.3971354166666667,0.6171875,0.71875,0.8255208333333334,0.4869791666666667,0.2825520833333333,0.9322916666666666,0.6086309523809524
procurv_100,0.4153645833333333,0.6178385416666666,0.2122395833333333,0.9108072916666666,0.48828125,0.6536458333333334,0.9329427083333334,0.6044456845238095
procurv_200,0.4010416666666667,0.6178385416666666,0.0143229166666666,0.0436197916666666,0.4876302083333333,0.6041666666666666,0.931640625,0.4428943452380952
procurv_ms,0.373046875,0.6126302083333334,0.8079427083333334,0.9205729166666666,0.4856770833333333,0.6165364583333334,0.9322916666666666,0.6783854166666667
