model,encoder,input,class,gt_support (id),pred_support (id),gt_num_images (id),pred_num_images (id),tp (id),fp (id),fn (id),tn (id),macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),mean_hd (id),mean_hd95 (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),gt_support (cd),pred_support (cd),gt_num_images (cd),pred_num_images (cd),tp (cd),fp (cd),fn (cd),tn (cd),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),mean_hd (cd),mean_hd95 (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd)
deeplabv3p,resnet50,dem+rgb,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,dem+rgb,Qal,8361713.0,7783900.0,947.0,945.0,6189999.0,1593901.0,2171714.0,90707682.0,0.3172844619595448,0.3898245897626371,0.4735424763335946,0.4067874787361039,99.25569725082946,88.36516315671446,0.6217596423485282,0.7667716301635621,0.7952310538419044,0.7402788160751272,9921617.0,330839.0,842.0,256.0,243038.0,87801.0,9678579.0,90653878.0,0.0212062047353498,0.0330997758453422,0.1322608887200319,0.0235095033151053,158.59513639990303,148.11496521834005,0.024280932218037,0.0474106887169279,0.7346110948225572,0.0244958054720314
deeplabv3p,resnet50,dem+rgb,Qat,388848.0,201869.0,61.0,55.0,74447.0,127422.0,314401.0,100147026.0,0.0510680641624882,0.0730624413942375,0.1508614167105406,0.0680348656484663,105.03169651031494,91.86899490356446,0.1442016774168555,0.2520563992571739,0.3687886698799716,0.1914552730115623,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,dem+rgb,Qc,16237424.0,15958691.0,748.0,781.0,14308856.0,1649835.0,1928568.0,82776037.0,0.5580822838168497,0.6326216441077253,0.6786581187748801,0.6426050956428614,76.14970531793423,61.02616333686653,0.7999468224840933,0.8888560622919877,0.8966184005943846,0.8812269729484185,9341265.0,2221646.0,453.0,347.0,1358994.0,862652.0,7982271.0,90459379.0,0.0848947991374491,0.1248190352036379,0.2871985758075342,0.1120294458974609,172.168721093851,156.3768289860557,0.1331835607835697,0.2350608769712056,0.6117059153438487,0.1454828655433712
deeplabv3p,resnet50,dem+rgb,Qca,7202703.0,6794139.0,431.0,424.0,4537760.0,2256379.0,2664943.0,91204214.0,0.3053885303616255,0.3818370732537346,0.4468957879237223,0.411311413821636,106.42347850187876,91.13981030633776,0.4797251995489626,0.6483976885643205,0.6678933121621444,0.6300079289677778,3590038.0,913932.0,248.0,178.0,177905.0,736027.0,3412133.0,96337231.0,0.0221036084413539,0.0344792349096789,0.1363357401421629,0.0277782778785384,182.6334311552722,170.73154208636043,0.0411239775639062,0.0789991940443653,0.1946589024128709,0.0495551857668358
deeplabv3p,resnet50,dem+rgb,Qr,62099929.0,64593954.0,1433.0,1478.0,58140681.0,6453273.0,3959248.0,32110094.0,0.7466667620564112,0.8023867340663177,0.8153976814523145,0.8358450558553547,70.39246682061277,52.79481137153699,0.8481103625181505,0.9178135458994496,0.9000947828646625,0.936243920665352,75325588.0,72024516.0,1511.0,1511.0,61476868.0,10547648.0,13848720.0,14790060.0,0.6480336071156159,0.7189957311930044,0.8203751669984809,0.7471339345485283,92.74803918228302,76.09719759725549,0.7159025426734821,0.834432638065868,0.8535547534953237,0.8161485310941085
deeplabv3p,resnet50,dem+rgb,af1,6362496.0,5330743.0,570.0,620.0,4228374.0,1102369.0,2134122.0,93198431.0,0.2205666634888016,0.2725905479932077,0.3799394321919709,0.2671512176287239,103.93409444491068,91.33466016337984,0.5664367674432157,0.7232168948227262,0.793205374935539,0.6645778637817611,1372643.0,25172363.0,432.0,1050.0,531631.0,24640732.0,841012.0,74649921.0,0.033111612588114,0.0505154685172778,0.0851778278984534,0.1324459960644016,178.56892468508553,164.12715250604293,0.0204368329753444,0.0400550672318552,0.0211196302865964,0.3873046378410118
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qal,8361713.0,8216121.0,947.0,999.0,6803465.0,1412656.0,1558248.0,90888927.0,0.4077303121658372,0.4828089598641147,0.5610461670127458,0.4882345149514482,86.49045698032147,73.2668695125638,0.696051581437124,0.8207905809649197,0.8280629021894882,0.8136448835304441,9921617.0,11755509.0,842.0,1216.0,8108570.0,3646939.0,1813047.0,87094740.0,0.3303341335127842,0.3943977581332705,0.4350601565429793,0.4163291638678921,113.79200271254132,96.38951473722032,0.5976000688651025,0.7481222372375379,0.68976766552601,0.8172629521982153
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qat,388848.0,342984.0,61.0,82.0,148864.0,194120.0,239984.0,100080328.0,0.0793259731578555,0.1056065578182989,0.1708206272599372,0.1036161208017305,125.4818378795277,112.20283514080626,0.2553553539816937,0.4068256102493468,0.4340260770181699,0.3828333950541085,1101870.0,603165.0,77.0,164.0,132097.0,471068.0,969773.0,99090358.0,0.0322961317644655,0.0474117016739339,0.1335434646290891,0.0354410803023104,136.1164349736394,124.53605270385742,0.0839810596476148,0.1549493118909582,0.2190064078651778,0.1198843783749444
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qc,16237424.0,15696054.0,748.0,792.0,14590233.0,1105821.0,1647191.0,83320051.0,0.6066629741783532,0.6743190898541863,0.7430044739575454,0.6668238247273501,62.54799424367594,46.639023875344726,0.8412631546172588,0.9137891588257314,0.929547834124424,0.8985558916241887,9341265.0,11030172.0,453.0,596.0,8450758.0,2579414.0,890507.0,88742617.0,0.4281333574707955,0.5037203775867888,0.5022391493285613,0.5734602671779284,88.7947131275037,68.92967901973549,0.708915826019642,0.8296673425640028,0.766149249531195,0.9046695495738531
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qca,7202703.0,8183232.0,431.0,483.0,5601056.0,2582176.0,1601647.0,90878417.0,0.3898738496469234,0.472750674265442,0.5067852715445397,0.5253431125172747,100.826402440824,84.01362104164927,0.57241954652684,0.7280748293815098,0.684455237246115,0.7776325082403093,3590038.0,5226804.0,248.0,379.0,2285914.0,2940890.0,1304124.0,94132368.0,0.2319960691572249,0.3033824281124647,0.3444097740689265,0.3471798268360637,122.32349809687187,104.51481170654296,0.3500136580896313,0.5185335066682606,0.4373445034479961,0.6367381069504
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,Qr,62099929.0,63171298.0,1433.0,1460.0,58224480.0,4946818.0,3875449.0,33616549.0,0.7735156714292524,0.8239696134776147,0.8564403973838531,0.8404114273851878,63.83648650088209,46.659541224334255,0.8684161813249492,0.9295746739991618,0.9216920000599006,0.9375933424980244,75325588.0,71253989.0,1511.0,1530.0,67528231.0,3725758.0,7797357.0,21611950.0,0.7978503204811837,0.8547138395140877,0.9140933789689746,0.8485794981173463,71.97624156370789,53.63283442787337,0.8542325262874082,0.9213866267331362,0.9477115870663746,0.8964846182149949
