model,encoder,r2,pcc,srcc,krcc
deeplabv3p,resnet50,0.8204024537249137,0.8998757608892435,0.9171500532677652,0.8369836091635005
segformer,mitb0,0.8104804173704189,0.8940908756444196,0.9190839252965752,0.8346643249510505
segformer,mitb2,0.82048189044211,0.899311197829322,0.9099956976180913,0.8270105978999819
unet,resnet18,0.8211777472421631,0.8998762222376461,0.9212190488114933,0.8374806466552885
