model,encoder,input,macro_iou_id_mean,macro_iou_id_sd,macro_iou_cd_mean,macro_iou_cd_sd
unet,resnet18,s-10,0.46104671930765767,0.0016576171442293796,0.41041944910220896,0.006572259133063131
unet,resnet18,s-ms,0.4820788572958644,0.012228053231684462,0.42089435622609883,0.016551576221099512
unet,resnet18,ep-ms+s-ms+sds-ms,0.4897063402020382,0.011290187560257193,0.42903190716016953,0.01830138896908269
deeplabv3p,resnet50,s-10,0.47167775005905666,0.010901050914236883,0.4191895233355229,0.010666097324776485
deeplabv3p,resnet50,s-ms,0.49794481482681363,0.017010927697480104,0.43285189901488286,0.014193137661570187
deeplabv3p,resnet50,ep-ms+prc-ms+s-ms,0.5120438584117585,0.0044739708250053035,0.44319759429311956,0.008268683839446367
segformer,mitb2,dem,0.48027530192442847,0.010798818731649087,0.385982614995335,0.013572158555932535
segformer,mitb2,s-ms,0.5029168358311604,0.01085472458247835,0.4439897380165704,0.01517258527193507
segformer,mitb2,prc-ms+s-ms,0.5124591820197507,0.004694526600873257,0.4542335283082585,0.007697665581788069
