model,encoder,input,macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),mean_hd (id),mean_hd95 (id),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd),mean_hd (cd),mean_hd95 (cd)
deeplabv3p,resnet50,dem,0.4567161446095385,0.5201229521586216,0.5786935516036611,0.5372242003360291,0.745187520980835,0.8539913296699524,0.8539913296699524,0.8539913296699524,90.13055767188752,74.1488494348526,0.2775400648659713,0.3261482296329632,0.3944279358193088,0.359174594075102,0.5909531116485596,0.7428919672966003,0.7428919672966003,0.7428919672966003,118.5983085688736,102.30300066183555
deeplabv3p,resnet50,ep-101,0.4254227087738207,0.489307918122347,0.561096218214938,0.5081414081777578,0.7135012149810791,0.8327992558479309,0.8327991962432861,0.8327991962432861,93.76488486299137,78.07602483941123,0.3891299194579117,0.4378642515474523,0.486174607014968,0.4734466754470223,0.6745043396949768,0.8056166768074036,0.8056166768074036,0.8056166768074036,97.02643187894844,80.7870824291052
deeplabv3p,resnet50,ep-11,0.4160836623573287,0.4812820210372217,0.5437522631365682,0.4963732604697949,0.7180532217025757,0.8358917236328125,0.8358917236328125,0.8358917236328125,95.85999269817708,79.33106201670734,0.3088712444738646,0.3527968913294177,0.397320267108105,0.3944061386639281,0.5978976488113403,0.7483553886413574,0.7483553886413574,0.7483553886413574,103.12718674719146,85.95969344760154
deeplabv3p,resnet50,ep-201,0.399781751938724,0.4611169275078774,0.5313318143941953,0.4857308117049612,0.6967175006866455,0.8212532997131348,0.8212533593177795,0.8212533593177795,96.46146847684176,80.86240535512381,0.3920404536262017,0.444457719084486,0.5013983538663472,0.4791780936064537,0.6808560490608215,0.8101301193237305,0.8101301193237305,0.8101301193237305,99.21493915075528,82.32206754755734
deeplabv3p,resnet50,ep-21,0.4384264960571448,0.5038585845414302,0.5677001885859166,0.5174387412073768,0.730830729007721,0.8444855809211731,0.8444855213165283,0.8444855213165283,89.09107634530193,73.65148248402032,0.349852123303644,0.3914341294576412,0.4288921590122074,0.4358301405074924,0.6310420632362366,0.7737900614738464,0.7737900614738464,0.7737900614738464,91.99343137580895,76.54289449748777
deeplabv3p,resnet50,ep-51,0.4303936344234057,0.494046471641012,0.5555857942935816,0.5163476284625923,0.7223331332206726,0.8387844562530518,0.8387844562530518,0.8387844562530518,93.21745249669752,77.13727018342338,0.3683174958327517,0.4146957743456247,0.4646278819109117,0.4532537565331466,0.6457141041755676,0.784722089767456,0.784722089767456,0.784722089767456,96.07666853016832,79.7441956011095
deeplabv3p,resnet50,ep-5,0.4302004422451919,0.4935238739618733,0.5585037500346693,0.5098102017560168,0.72404545545578,0.8399377465248108,0.8399377465248108,0.8399377465248108,92.3885949589467,75.72755075987438,0.1736569450047484,0.2112596504202582,0.298844822705289,0.2428685871292403,0.2907356917858124,0.450496107339859,0.450496107339859,0.450496107339859,140.95909478992868,121.86851089915992
deeplabv3p,resnet50,nhd,0.2360177019903619,0.269830932870931,0.2724386169505913,0.3564255783300085,0.4603779911994934,0.6304915547370911,0.6304915547370911,0.6304915547370911,117.68089214481886,103.39641688413258,0.3318165104887662,0.3691203045402998,0.3763643509353047,0.4286080179458114,0.6132376790046692,0.7602570652961731,0.7602570652961731,0.7602570652961731,91.77615515691164,78.55483158240341
deeplabv3p,resnet50,nir,0.3176587668233107,0.3641502778329259,0.4093494294384356,0.3992968521593408,0.6080178022384644,0.7562326788902283,0.7562326788902283,0.7562326788902283,113.07442102285034,96.438235908253,0.1465838085766632,0.1627661566804234,0.2528467160405768,0.2267234989083835,0.253130555152893,0.4039970934391022,0.4039970934391022,0.4039970934391022,165.76224365973383,150.55390468837297
deeplabv3p,resnet50,osm,0.2265036248926343,0.2528121246046787,0.2478176555294186,0.3371365535985371,0.4557289481163025,0.6261178851127625,0.6261178851127625,0.6261178851127625,109.87820745175914,95.22366331157244,0.3192671838915136,0.3461166394853928,0.3282564153474019,0.4190659274939947,0.5985633134841919,0.7488765716552734,0.7488765716552734,0.7488765716552734,83.3566332794371,70.0604583735693
deeplabv3p,resnet50,plc-100,0.2836237687927149,0.3321523703142195,0.3666735256724248,0.3978702027148257,0.5230026245117188,0.6868045926094055,0.6868045926094055,0.6868045926094055,112.0029097965116,95.55421287702316,0.3241387787926607,0.3666416502879819,0.4039798872840907,0.4166924273581374,0.5972498059272766,0.7478477358818054,0.7478477358818054,0.7478477358818054,102.0230117377227,86.39267222441956
deeplabv3p,resnet50,plc-10,0.3822809685473152,0.4434754154125976,0.5131501593264092,0.4668338103280948,0.6741809248924255,0.8053860068321228,0.8053860068321228,0.8053860068321228,100.12041218402145,83.89289105835938,0.3549351610468834,0.4065960967049006,0.4796641508598401,0.4281549434919413,0.6751824617385864,0.8061001896858215,0.8061001896858215,0.8061001896858215,102.94586969241156,86.40509012266544
deeplabv3p,resnet50,plc-200,0.2354575150121027,0.2736131789730373,0.2891888118929703,0.3536280865275307,0.4543420076370239,0.6248076558113098,0.6248076558113098,0.6248076558113098,118.46474268210297,103.16680361034209,0.3041259806597933,0.3405740275506536,0.3602478159432287,0.3959302238021201,0.5683005452156067,0.7247341871261597,0.7247342467308044,0.7247342467308044,98.9692772112151,84.07300297106536
deeplabv3p,resnet50,plc-20,0.3577770883471599,0.4219338324281811,0.4806142337198087,0.4527037961069712,0.6312232613563538,0.7739262580871582,0.7739262580871582,0.7739262580871582,106.36752805133696,89.53127565894911,0.3473576256803746,0.3986149625607576,0.4508195667807455,0.4299584470197364,0.6392330527305603,0.7799172401428223,0.7799172401428223,0.7799172401428223,104.71099530705273,87.58469292105733
