model,encoder,input,class,gt_support (id),pred_support (id),gt_num_images (id),pred_num_images (id),tp (id),fp (id),fn (id),tn (id),macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),mean_hd (id),mean_hd95 (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),gt_support (cd),pred_support (cd),gt_num_images (cd),pred_num_images (cd),tp (cd),fp (cd),fn (cd),tn (cd),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),mean_hd (cd),mean_hd95 (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd)
deeplabv3p,resnet50,dem,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,dem,Qal,8361713.0,7536136.0,947.0,928.0,5980234.0,1555902.0,2381479.0,90745681.0,0.3174776538499536,0.3891717345117653,0.4671749936064108,0.4024994610194347,102.19460634240563,89.87150127611392,0.6029911425277146,0.7523324696315835,0.7935411462850458,0.7151924492026933,9921617.0,4373211.0,842.0,1073.0,2659544.0,1713667.0,7262073.0,89028012.0,0.1370918427232154,0.1884259524038521,0.314983038839018,0.1802915498867069,141.4423287178931,126.8297869504312,0.2285757700456645,0.3720987758649492,0.6081444503821105,0.2680554994211125
deeplabv3p,resnet50,dem,Qat,388848.0,268789.0,61.0,60.0,94148.0,174641.0,294700.0,100099807.0,0.0511903342581829,0.0741928935773214,0.1212470593805215,0.0634238647240005,138.63079850570014,128.97928577920666,0.1670804576486852,0.2863220895417989,0.35026731004617,0.2421203143644817,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,dem,Qc,16237424.0,17202215.0,748.0,807.0,14663487.0,2538728.0,1573937.0,81887144.0,0.5432772442864942,0.619912752725791,0.6446741936471592,0.6510990717346022,81.52811980486257,65.50407201537759,0.7809633731128721,0.8770122787509758,0.8524185402868177,0.9030673215160238,9341265.0,19795993.0,453.0,870.0,8819989.0,10976004.0,521276.0,80346027.0,0.2136972821984976,0.2759446521420929,0.2290292633595178,0.435820972556758,130.69371669495587,111.43668486719174,0.434112921377376,0.6054096785634393,0.4455441563350724,0.9441964230754614
deeplabv3p,resnet50,dem,Qca,7202703.0,5861922.0,431.0,419.0,3971679.0,1890243.0,3231024.0,91570350.0,0.2806852529675818,0.356599551764102,0.434807799594377,0.3756295788325693,111.00057840778167,96.16855757782258,0.4367868235443166,0.6080050518097534,0.6775386980584184,0.5514150729247062,3590038.0,2846190.0,248.0,435.0,417650.0,2428540.0,3172388.0,94644718.0,0.0286920288819098,0.0453136274153422,0.1261808649454975,0.0397967261913332,172.52118079269988,158.15052248556404,0.0693934680251713,0.1297809835201611,0.1467400278969429,0.1163358159440095
deeplabv3p,resnet50,dem,Qr,62099929.0,66074243.0,1433.0,1503.0,58217150.0,7857093.0,3882779.0,30706274.0,0.7259713404326619,0.7836878474874126,0.8103286894810845,0.8100863896177398,76.67147853076668,57.39580646912313,0.8321845089403606,0.9084068824723908,0.8810869009880294,0.9374753069363412,75325588.0,71580090.0,1511.0,1503.0,62450060.0,9130030.0,12875528.0,16207678.0,0.6563434261222957,0.7216508063180669,0.8187486895412803,0.7438515173027724,94.02426231794654,76.11641666240718,0.7394423423673249,0.8502062119069352,0.8724501464024423,0.8290683373092288
deeplabv3p,resnet50,dem,af1,6362496.0,3719991.0,570.0,359.0,3038882.0,681109.0,3323614.0,93619691.0,0.1610073579784999,0.2026775954154318,0.3344051302338129,0.1886249215848384,118.31433005864612,107.40289296464222,0.4314384466477038,0.6028040502308607,0.8169057398257147,0.4776241902548936,1372643.0,2067812.0,432.0,743.0,434711.0,1633101.0,937932.0,97657552.0,0.0532928355377577,0.0787533030518915,0.1271289432869919,0.0889332967574868,142.9422332214204,134.233753586447,0.1446267546404484,0.2527055287745371,0.2102275255197281,0.3166963296356008
deeplabv3p,resnet50,ep-101,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,ep-101,Qal,8361713.0,7002853.0,947.0,818.0,5907363.0,1095490.0,2454350.0,91206093.0,0.319616420409636,0.387278099511333,0.5175507020701762,0.3675271315884463,96.43519352834464,83.41252545808129,0.6246416620220587,0.768959305456464,0.8435651869316692,0.7064776081169014,9921617.0,9555685.0,842.0,899.0,7035596.0,2520089.0,2886021.0,88221590.0,0.3019464963019641,0.3698617535212272,0.4563904169162865,0.373617167721183,111.20391893601632,96.56406786062338,0.565484829813532,0.7224405104978092,0.7362733283903771,0.7091178786683663
deeplabv3p,resnet50,ep-101,Qat,388848.0,121578.0,61.0,39.0,61188.0,60390.0,327660.0,100214058.0,0.0350031347990762,0.0521546272424663,0.1315276915343796,0.048470392550637,126.7279569837782,118.62348545922174,0.1362039720593538,0.2397526771755357,0.5032818437546267,0.157357116405382,1101870.0,388752.0,77.0,60.0,125412.0,263340.0,976458.0,99298086.0,0.0308367524157163,0.0418312977509279,0.0984670413625345,0.0394801624985248,154.42447612596595,146.17009370223334,0.0918627903399477,0.1682680116085768,0.3226015557476231,0.1138174194777968
deeplabv3p,resnet50,ep-101,Qc,16237424.0,15216638.0,748.0,667.0,12597189.0,2619449.0,3640235.0,81806423.0,0.4220745470291502,0.4944699394176494,0.5661075802963527,0.5050353300830823,95.86743805020356,79.49548742224607,0.6680423100903315,0.8009896464246812,0.8278562583929512,0.7758120376729708,9341265.0,1236700.0,453.0,139.0,1017343.0,219357.0,8323922.0,91102674.0,0.056540774317643,0.0804843184474011,0.1963291901843739,0.0634184427112985,158.6060518967478,141.06613376684356,0.1064097084896777,0.1923513643692335,0.8226271529069298,0.1089084829517201
deeplabv3p,resnet50,ep-101,Qca,7202703.0,6460144.0,431.0,419.0,3691571.0,2768573.0,3511132.0,90692020.0,0.2236633988058449,0.2926338171076018,0.3850294832384189,0.3309081346578262,129.85485828795083,115.20940819019224,0.3702205214257433,0.5403809323195964,0.5714378812608512,0.5125257837231384,3590038.0,1639657.0,248.0,151.0,457933.0,1181724.0,3132105.0,95891534.0,0.0485286773855073,0.0678029568348493,0.0988026383362473,0.0835214290341051,172.8274380820138,160.74408451716104,0.0959672758197077,0.1751279950360393,0.2792858506382737,0.1275565885375029
deeplabv3p,resnet50,ep-101,Qr,62099929.0,65669474.0,1433.0,1473.0,57222871.0,8446603.0,4877058.0,30116764.0,0.7085543063256537,0.773509377316335,0.7870315981530999,0.8224070102298922,79.19247611172229,61.11568569765287,0.8111365559401276,0.8957210358101149,0.8713770267141169,0.921464354653288,75325588.0,86411510.0,1511.0,1530.0,71924313.0,14487197.0,3401275.0,10850511.0,0.7742733875891089,0.8316862375909212,0.8216664220697937,0.9245720684346584,74.43177369701064,57.13703619857116,0.8008248825598716,0.8893978424170811,0.8323464431995229,0.9548456893559198
deeplabv3p,resnet50,ep-101,af1,6362496.0,6192609.0,570.0,564.0,4352132.0,1840477.0,2010364.0,92460323.0,0.204396874650701,0.2539295342852108,0.344241184777209,0.2661212173464863,106.7897192595841,94.87790300877064,0.5305554461778674,0.6932848430976881,0.7027945733373445,0.6840290351459553,1372643.0,1430992.0,432.0,448.0,535437.0,895555.0,837206.0,98395098.0,0.0925102208945198,0.1282440306871043,0.2095532311377899,0.1358679915498387,136.80889826202392,121.14083513832092,0.2360627246827658,0.3819591351941319,0.374171903127341,0.3900773908437955
deeplabv3p,resnet50,ep-11,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
deeplabv3p,resnet50,ep-11,Qal,8361713.0,7741539.0,947.0,1076.0,6173633.0,1567906.0,2188080.0,90733677.0,0.3321910447644624,0.4057991950455478,0.4992471770016907,0.4020983395325717,102.46901138097633,88.06659835474748,0.6217391623988796,0.76675605647853,0.7974684361856215,0.7383215616226005,9921617.0,8058091.0,842.0,875.0,5124892.0,2933199.0,4796725.0,87808480.0,0.2059933526172849,0.2650333115287494,0.3825154610441361,0.2741238732491645,131.36913000721367,114.365696555187,0.3986748624017644,0.5700751091174562,0.635993314049196,0.5165379796458581
deeplabv3p,resnet50,ep-11,Qat,388848.0,159355.0,61.0,71.0,60513.0,98842.0,328335.0,100175606.0,0.0338560686115976,0.049919301400257,0.1198706823949501,0.0417467076374896,138.54213119506835,128.56136749267577,0.1240808710451311,0.2207685839004894,0.3797370650434564,0.1556212196025182,1101870.0,2558289.0,77.0,245.0,178396.0,2379893.0,923474.0,97181533.0,0.0193877889665317,0.029174348007881,0.0598998092996884,0.0316481887533201,174.6248982747396,163.12336779863406,0.0512372611231723,0.0974799182221318,0.0697325438994578,0.1619029468086071
