model,encoder,r2,pcc,srcc,krcc
deeplabv3p,resnet50,0.2838488064918091,0.5327746301127796,0.35006587615283263,0.23838383838383836
segformer,mitb0,0.24882764818446004,0.4988262705436233,0.40276679841897234,0.2707070707070707
segformer,mitb2,0.2871420392086246,0.5358563606122676,0.3703557312252964,0.27474747474747474
unet,resnet18,0.38400531206239036,0.6196816215302745,0.3694334650856389,0.24444444444444444
