model,encoder,input,class,gt_support (id),pred_support (id),gt_num_images (id),pred_num_images (id),tp (id),fp (id),fn (id),tn (id),macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),mean_hd (id),mean_hd95 (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),gt_support (cd),pred_support (cd),gt_num_images (cd),pred_num_images (cd),tp (cd),fp (cd),fn (cd),tn (cd),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),mean_hd (cd),mean_hd95 (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd)
unet,resnet18,plc-100,Qal,8361713.0,6520772.0,947.0,674.0,4189847.0,2330925.0,4171866.0,89970658.0,0.1575778674725967,0.208995896014053,0.2817062680981967,0.2476904726303795,118.26776946367944,106.71783204318425,0.3918440893631674,0.5630574463874817,0.6425384908412685,0.5010751983475157,9921617.0,4456653.0,842.0,640.0,3075579.0,1381074.0,6846038.0,89360605.0,0.1290714152593544,0.1780365834315121,0.3339233526910704,0.1650090193071009,140.01512489398155,126.2901839099654,0.2721103319554608,0.4278093261567629,0.690109595698835,0.3099876764039571
unet,resnet18,plc-100,Qat,388848.0,0.0,61.0,0.0,0.0,0.0,388848.0,100274448.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-100,Qc,16237424.0,14920731.0,748.0,834.0,7887430.0,7033301.0,8349994.0,77392571.0,0.1856507788702678,0.2396422221637325,0.3116595030937721,0.2615749781322939,142.84812735813844,127.45461885323256,0.3389421687549485,0.5062835074798235,0.5286222236698724,0.4857562381816229,9341265.0,7216988.0,453.0,633.0,1738424.0,5478564.0,7602841.0,85843467.0,0.0529708516317996,0.0763646821986513,0.1408478890614381,0.0900705796718334,178.0743357236268,160.4167971689193,0.1173039176093057,0.2099767409037656,0.2408794361304189,0.1861015611911234
unet,resnet18,plc-100,Qca,7202703.0,4013456.0,431.0,404.0,1613753.0,2399703.0,5588950.0,91060890.0,0.0857242344500699,0.1230627452032779,0.2226358806344274,0.1245876106191971,154.42307482910155,140.31896194458008,0.1680571515097362,0.2877550148852205,0.402085633927468,0.2240482496640497,3590038.0,1101370.0,248.0,199.0,214168.0,887202.0,3375870.0,96186056.0,0.0172124634356299,0.0260139056269893,0.0718527288540967,0.0218770433753307,191.94736900976147,176.6718996338925,0.0478348268129472,0.0913022273910092,0.1944559957144284,0.0596561930542239
unet,resnet18,plc-100,Qr,62099929.0,75208337.0,1433.0,1536.0,55911926.0,19296411.0,6188003.0,19266956.0,0.6138185188672954,0.6930744558918983,0.6915026955865263,0.8163618647878366,108.19586296008336,86.4040637209294,0.686909583403873,0.8144000012351769,0.7434272346694756,0.9003541050747417,75325588.0,87888285.0,1511.0,1536.0,69906399.0,17981886.0,5419189.0,7355822.0,0.7232259343760461,0.7923834380162589,0.7848361159254864,0.900998776790099,80.79799525726717,64.85736877282355,0.74920471001069,0.8566232479514777,0.7954006498135673,0.9280564660178956
unet,resnet18,plc-100,af1,6362496.0,0.0,570.0,0.0,0.0,0.0,6362496.0,94300800.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1372643.0,0.0,432.0,0.0,0.0,0.0,1372643.0,99290653.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-10,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-10,Qal,8361713.0,8312888.0,947.0,1219.0,5925335.0,2387553.0,2436378.0,89914030.0,0.2649028223825717,0.3377658006476949,0.4351785887772447,0.3452452069708648,109.99197713811914,96.7758891623476,0.5512315910686367,0.7107018632709712,0.7127889850073765,0.7086269284774543,9921617.0,9591471.0,842.0,1377.0,6512917.0,3078554.0,3408700.0,87663125.0,0.233284017783133,0.2974936025386656,0.3758689112349186,0.2966965260070521,122.47924752021903,107.30889197427835,0.5009870254783572,0.6675434457119243,0.6790321317762417,0.6564370505331943
unet,resnet18,plc-10,Qat,388848.0,400165.0,61.0,145.0,72846.0,327319.0,316002.0,99947129.0,0.027038758449342,0.0408983839697193,0.0612168621229029,0.0393227637456408,158.24407744407654,150.8034256696701,0.1017164990847106,0.1846509499843475,0.1820399085377282,0.187337982965066,1101870.0,721388.0,77.0,185.0,82626.0,638762.0,1019244.0,98922664.0,0.016175588186482,0.0249933235390271,0.0764017895552086,0.0203724281111446,168.42456188201905,159.84317617416383,0.0474689652953639,0.0906355545951258,0.1145375304274537,0.0749870674398976
unet,resnet18,plc-10,Qc,16237424.0,18118071.0,748.0,879.0,12725481.0,5392590.0,3511943.0,79033282.0,0.3368701645024399,0.404413106510804,0.4397339388956918,0.4565821707183692,116.17256798552162,95.842311954607,0.5883251393179866,0.7408119720004034,0.7023640099434426,0.7837130446307247,9341265.0,9227876.0,453.0,872.0,4235783.0,4992093.0,5105482.0,86329938.0,0.115416157162603,0.1575778155492203,0.223997105737563,0.1715799322689337,143.6224001060505,124.1820564558284,0.2955192356180596,0.4562174416145582,0.4590203639494072,0.4534485425689133
unet,resnet18,plc-10,Qca,7202703.0,6514360.0,431.0,574.0,3205857.0,3308503.0,3996846.0,90152090.0,0.1716398470555414,0.2330645473385157,0.3107404364038316,0.2578650546113982,138.28246281411913,123.49850637382931,0.3049942128429411,0.467426153834826,0.4921215591401151,0.4450908221538497,3590038.0,3804353.0,248.0,524.0,889242.0,2915111.0,2700796.0,94158147.0,0.0523780248056184,0.0764935300245685,0.1298660257218845,0.0795290154469318,160.4782612981023,145.04391146479426,0.136698175552935,0.2405179818053981,0.2337432935376922,0.2476970995850183
