model,input,r2,pcc,srcc,krcc
unet,ep-ms+s-ms+sds-ms,0.2931707193285224,0.5320007591096262,0.6515500475037522,0.48617285191571735
deeplabv3p,ep-ms+prc-ms+s-ms,0.38544736434619303,0.6193107938597401,0.6956927291344287,0.5285623143331156
segformer,prc-ms+s-ms,0.31432153225397896,0.5493616202141399,0.6432539349043088,0.4824282572319292
