Class,Threshold,n True,n Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,4.7167633e-26,2.0,3.0,0.3333333333333333,0.5,0.5,0.4,0.75,0.75,0.5
Qal,0.9999225,5.0,4.0,0.75,0.6,0.0,0.6666666666666666,0.6,0.9266666666666666,0.5
Qaf,0.0,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.8,0.5,0.16666666666666666
Qat,0.99999416,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.7,0.25,0.16666666666666666
Qc,0.5,3.0,6.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.5
Qca,4.265367e-28,2.0,2.0,0.0,0.0,0.5,0.0,0.25,0.3333333333333333,0.3333333333333333
Qr,1.0,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,1.0
