Class,Threshold,n True,n Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,4.7167633e-26,3.0,2.0,0.5,0.3333333333333333,0.6666666666666666,0.4,0.33333333333333337,0.5,0.5
Qal,0.9999225,5.0,5.0,0.8,0.8,0.0,0.8,0.4,0.8066666666666668,0.6666666666666666
Qaf,0.0,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.4,0.16666666666666666,0.16666666666666666
Qat,0.99999416,1.0,5.0,0.2,1.0,0.2,0.3333333333333333,0.6,0.2,0.3333333333333333
Qc,0.5,4.0,6.0,0.6666666666666666,1.0,0.0,0.8,0.375,0.6166666666666666,0.6666666666666666
Qca,4.265367e-28,1.0,1.0,0.0,0.0,0.8,0.0,0.3,0.16666666666666666,0.6666666666666666
Qr,1.0,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,1.0
