Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.44),435,444,0.8235677083333334,0.6846846846846847,0.6988505747126437,0.6916951080773607,0.7684811696267322,0.8711954649378308
Qal (0.48),845,1163,0.6549479166666666,0.6354256233877902,0.8745562130177514,0.7360557768924303,0.729211799427706,0.7054436157185795
Qaf (0.23),6,7,0.9928385416666666,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.04821998021406906,0.6965141612200435
Qat (0.39),77,106,0.916015625,0.25471698113207547,0.35064935064935066,0.29508196721311475,0.17829296524079755,0.7051796729658278
Qc (0.44),456,596,0.8958333333333334,0.7483221476510067,0.9780701754385965,0.8479087452471483,0.9527097596349199,0.9782975958414555
Qca (0.53),249,342,0.8938802083333334,0.6257309941520468,0.8594377510040161,0.7241962774957699,0.7102897843991974,0.9476944296221405
Qr (0.51),1511,1531,0.98046875,0.983670803396473,0.9966909331568498,0.9901380670611439,0.9969588185746185,0.8519126406353409
