Run,Feature,gamma (fixed),gamma (run),MMD2,MMD,p-value
0,DEM,0.0117028449695147,0.0724515628777478,0.0773917805786225,0.2781937824226532,1.7835051889894395e-271
0,RGB,0.0117028449695147,0.0216935535185572,0.0204386390656058,0.1429637683666945,2.59671609804831e-73
0,RGB+NIR,0.0117028449695147,0.0133741807501557,0.0451600355224315,0.212508906924937,2.2512481898112917e-159
0,NHD,0.0117028449695147,0.0140795000000002,0.0015030403642929,0.0387690645269254,5.590200121203758e-07
0,OSM,0.0117028449695147,0.0022398750000001,0.0005328611932514,0.0230837863716375,0.00202605559125
0,EP 5,0.0117028449695147,0.095879175389457,0.003919125763969,0.0626029213692864,1.4444308147324057e-15
0,EP 11,0.0117028449695147,0.0791076932563229,0.0019227831384905,0.0438495511777545,1.7404231234118642e-08
0,EP 21,0.0117028449695147,0.066665892883934,0.0043385236982414,0.0658674707138618,4.80195679368074e-17
0,EP 51,0.0117028449695147,0.0549731581026545,0.0084767461702811,0.0920692466042879,1.4543464425105546e-31
0,EP 101,0.0117028449695147,0.0495491200384145,0.0071626958987025,0.0846327117532138,5.805969965952923e-27
0,EP 201,0.0117028449695147,0.0486694449352914,0.0029695155092787,0.0544932611363892,3.2823245946774376e-12
0,PlC 5,0.0117028449695147,0.0525872768691628,0.0217834256850026,0.1475920922170379,5.351078211844806e-78
0,PlC 10,0.0117028449695147,0.0581724127399196,0.0135254548224527,0.1162989889141462,3.3261167037003373e-49
0,PlC 20,0.0117028449695147,0.0596702860892657,0.0130430225669828,0.1142060531100819,1.6064115612967227e-47
0,PlC 50,0.0117028449695147,0.0589632800293904,0.005975466485769,0.077301141555407,8.452902262824597e-23
0,PlC 100,0.0117028449695147,0.0746069975107293,0.0009311157673983,0.0305141896074323,6.685453938406925e-05
0,PlC 200,0.0117028449695147,0.0695101129674568,4.2392353526629605e-05,0.0065109410630591,0.1951534687286233
0,PrC 5,0.0117028449695147,0.0571781646882234,0.0009578476829606,0.0309491144131887,5.333954137905809e-05
0,PrC10,0.0117028449695147,0.0517785187781549,0.0016071808840168,0.0400896605625045,2.357969404687443e-07
