Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.47),571,646,0.763671875,0.6609907120743034,0.7478108581436077,0.7017255546425637,0.7945935134551358,0.8357394989247116
Qal (0.5),949,1035,0.6705729166666666,0.7140096618357488,0.7787144362486829,0.7449596774193549,0.8296734075783897,0.7337177303105753
Qaf (0.35),13,16,0.982421875,0.0625,0.07692307692307693,0.06896551724137931,0.028861571777418563,0.7902419314106773
Qat (0.32),61,86,0.927734375,0.20930232558139536,0.29508196721311475,0.24489795918367346,0.18910318177426083,0.8351875520978049
Qc (0.53),749,716,0.8873697916666666,0.9022346368715084,0.8624833110814419,0.8819112627986349,0.9607961511269134,0.9557410728069445
Qca (0.44),432,472,0.8268229166666666,0.6758474576271186,0.7384259259259259,0.7057522123893806,0.7857296617185352,0.8793843095813205
Qr (0.53),1433,1513,0.9322916666666666,0.9391936549900859,0.9916259595254711,0.9646978954514596,0.9890692076269021,0.8657172474068252
