Class,Targets,Predictions,Precision,Recall,F1,AP,AUROC
af1 (0.43),435,1037,0.304725168756027,0.7264367816091954,0.42934782608695654,0.33420465504579383,0.5609111883658534
Qal (0.44),845,1215,0.5596707818930041,0.8047337278106509,0.6601941747572816,0.5802824422735976,0.5079046746418449
Qaf (0.35),6,0,0.0,0.0,0.0,0.009949258077081965,0.6666666666666667
Qat (0.37),77,0,0.0,0.0,0.0,0.042720951231556156,0.4256517985099205
Qc (0.48),456,848,0.5294811320754716,0.9846491228070176,0.6886503067484663,0.896283205712904,0.9504710851202078
Qca (0.35),249,474,0.45569620253164556,0.8674698795180723,0.5975103734439834,0.7121414048090277,0.913596889500504
Qr (0.46),1511,1535,0.9837133550488599,0.99933818663137,0.9914642153644123,0.9932138308600535,0.7128788881535406
