Class,True,Predicted,Precision,Recall,F1,AUROC,AP,Accuracy,AUC
af1 (0.36),15,26,0.34615384615384615,0.6,0.43902439024390244,,0.35049790934600467,0.425,0.42400000000000004
Qal (0.45),29,34,0.7058823529411765,0.8275862068965517,0.7619047619047619,,0.8821562869175041,0.625,0.677115987460815
Qaf (0.01),1,39,0.02564102564102564,1.0,0.05,,0.08333333333333333,0.05,0.717948717948718
Qat (0.3),0,22,0.0,0.0,0.0,,0.0,0.45,
Qc (0.47),21,25,0.76,0.9047619047619048,0.8260869565217391,,0.8006857007992199,0.8,0.8170426065162907
Qca (0.47),15,16,0.5625,0.6,0.5806451612903226,,0.5421292768119393,0.675,0.5813333333333333
Qr (0.61),36,34,0.9117647058823529,0.8611111111111112,0.8857142857142857,,0.9664603050832574,0.8,0.7291666666666666
