Class,Decision Threshold,num True,num Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,0.22646031,435.0,848.0,0.2865566037735849,0.5586206896551724,0.45049954586739327,0.37879968823070925,0.5152922630419577,0.3024990936856008,0.4811197916666667
Qal,0.4513934,845.0,1497.0,0.5511022044088176,0.9763313609467456,0.027496382054992764,0.7045260461144321,0.5284272000959076,0.6119262154251547,0.5494791666666666
Qaf,0.020455686,6.0,0.0,0.0,0.0,1.0,0.0,0.1968409586056645,0.0027614679337008017,0.99609375
Qat,0.067683555,77.0,0.0,0.0,0.0,1.0,0.0,0.16289399428535822,0.028488537462380798,0.9498697916666666
Qc,0.5015474,456.0,1536.0,0.296875,1.0,0.0,0.4578313253012048,0.880811403508772,0.7876378341431671,0.296875
Qca,0.34725496,249.0,1145.0,0.21746724890829694,1.0,0.3038073038073038,0.35724533715925394,0.88027322967082,0.6430923140760493,0.4166666666666667
Qr,0.8059068,1511.0,1536.0,0.9837239583333334,1.0,0.0,0.9917952084017067,0.5393778954334877,0.9797661120546103,0.9837239583333334
