train loss,train accuracy,train time,val loss,val accuracy
0.43959447741508484,77.52580261230469,0.92,0.4105362594127655,81.21279907226562
0.41463005542755127,79.38111114501953,0.7,0.4033409059047699,80.37574005126953
0.41539478302001953,79.41845703125,0.7,0.4058308005332947,80.35714721679688
0.40689998865127563,79.85639953613281,0.7,0.4158751368522644,80.8965835571289
0.39939597249031067,80.3130111694336,0.7,0.37005531787872314,82.10565185546875
0.3649333417415619,82.12248992919922,0.7,0.3630022704601288,83.12872314453125
0.37380537390708923,81.52159118652344,0.7,0.37662941217422485,80.59896087646484
0.3810844421386719,81.0853500366211,0.7,0.4452083706855774,77.23214721679688
0.42547982931137085,78.25570678710938,0.7,0.43842145800590515,75.74404907226562
0.4435013234615326,76.67537689208984,0.7,0.43372517824172974,77.1391372680664
0.42957013845443726,78.04692077636719,0.7,0.42851173877716064,78.5714340209961
0.4249763488769531,78.33888244628906,0.7,0.419211745262146,79.79911041259766
