Class,Threshold,n True,n Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,0.02493022,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.7,0.3333333333333333
Qal,0.59556055,5.0,6.0,0.8333333333333334,1.0,0.0,0.9090909090909091,0.4,0.8766666666666667,0.8333333333333334
Qaf,0.20568424,1.0,2.0,0.0,0.0,0.6,0.0,0.4,0.25,0.5
Qat,0.23963332,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666
Qc,0.5,4.0,6.0,0.6666666666666666,1.0,0.0,0.8,0.75,0.9166666666666666,0.6666666666666666
Qca,0.7049075,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.8,0.5,0.16666666666666666
Qr,0.93674505,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,1.0
