MapUnit,n Targets,n Predictions,Precision,Recall,F1,AUC-ROC
af1,367,349,0.7363896848137536,0.7002724795640327,0.7178770949720671,0.8662569104881823
Qal,632,823,0.6998784933171325,0.9113924050632911,0.7917525773195876,0.7702103784551795
Qaf,8,111,0.02702702702702703,0.375,0.05042016806722689,0.7785433070866141
Qat,34,52,0.19230769230769232,0.29411764705882354,0.23255813953488372,0.7764408793820559
Qc,515,502,0.8625498007968128,0.8407766990291262,0.8515240904621436,0.9350067713201213
Qca,296,306,0.6764705882352942,0.6993243243243243,0.6877076411960132,0.8721460127710128
Qr,944,1017,0.9242871189773845,0.9957627118644068,0.958694543600204,0.8876191737288136
