Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.45),571,1328,0.404296875,0.3704819277108434,0.861646234676007,0.5181674565560821,0.3870493041677018,0.5134007241182181
Qal (0.58),949,1533,0.6184895833333334,0.6183953033268101,0.9989462592202318,0.7639000805801772,0.6352344006909438,0.5384166602341207
Qaf (0.23),13,1399,0.09765625,0.009292351679771264,1.0,0.018413597733711047,0.06990379571263648,0.66500833375423
Qat (0.33),61,309,0.78125,0.05501618122977346,0.2786885245901639,0.0918918918918919,0.05447833733618433,0.5446457349263685
Qc (0.54),749,1213,0.5533854166666666,0.5259686727122836,0.8518024032042724,0.6503567787971458,0.6209364313572788,0.6507151424262421
Qca (0.6),432,824,0.5833333333333334,0.3737864077669903,0.7129629629629629,0.49044585987261147,0.41578272590864274,0.6646474939613527
Qr (0.58),1433,1533,0.9309895833333334,0.9328114807566862,0.9979064898813678,0.9642616318273769,0.9454142159308617,0.5638283457204996
