Class,True,Predicted,Accuracy,Precision,Recall,F1,AUC,AP
af1 (0.48),4.0,15.0,0.3125,0.26666666666666666,1.0,0.42105263157894735,0.6041666666666666,0.37083333333333335
Qal (0.41),9.0,16.0,0.5625,0.5625,1.0,0.72,0.6825396825396826,0.806537444037444
Qaf (0.22),1.0,8.0,0.4375,0.0,0.0,0.0,0.2666666666666667,0.08333333333333333
Qat (0.13),1.0,8.0,0.5625,0.125,1.0,0.2222222222222222,0.8,0.25
Qc (0.5),8.0,5.0,0.5625,0.6,0.375,0.46153846153846156,0.59375,0.6777514152514152
Qca (0.45),8.0,14.0,0.5,0.5,0.875,0.6363636363636364,0.6875,0.786489898989899
Qr (0.49),14.0,16.0,0.875,0.875,1.0,0.9333333333333333,0.6428571428571428,0.9467181627895913
