Class,True,Predicted,Accuracy,Precision,Recall,F1,AUC,AP
af1 (0.48),4.0,12.0,0.375,0.25,0.75,0.375,0.4375,0.2875
Qal (0.41),11.0,11.0,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5818181818181818,0.8249320124320125
Qaf (0.22),1.0,0.0,0.9375,0.0,0.0,0.0,0.9333333333333333,0.5
Qat (0.13),3.0,0.0,0.8125,0.0,0.0,0.0,0.20512820512820512,0.15643939393939393
Qc (0.5),5.0,16.0,0.3125,0.3125,1.0,0.47619047619047616,0.16363636363636364,0.23079670329670332
Qca (0.45),2.0,16.0,0.125,0.125,1.0,0.2222222222222222,0.5,0.5625
Qr (0.49),16.0,16.0,1.0,1.0,1.0,1.0,,1.0
