MapUnit,n Targets,n Predictions,Precision,Recall,F1,AUC-ROC
af1,370,250,0.748,0.5054054054054054,0.603225806451613,0.7810810810810811
Qal,642,612,0.8186274509803921,0.780373831775701,0.7990430622009569,0.8389032963089821
Qaf,10,0,0.0,0.0,0.0,0.9228796844181459
Qat,49,3,0.0,0.0,0.0,0.8743275771847201
Qc,484,501,0.8762475049900199,0.9070247933884298,0.8913705583756345,0.9668732782369146
Qca,295,229,0.8384279475982532,0.6508474576271186,0.732824427480916,0.9338215805259119
Qr,946,995,0.9447236180904522,0.9936575052854123,0.9685729005667182,0.9200276467718328
