encoder,fusion,n,r2,pcc,pcc_p,pcc_p_holm,srcc,srcc_p,srcc_p_holm,krcc,krcc_p,krcc_p_holm
resnext50_32x4d,stack,15,0.1358221594038526,0.36854058040309834,0.17647662125620042,0.4510895541512855,0.6392857142857141,0.010288446619594212,0.04115378647837685,0.5047619047619049,0.008269998948239689,0.033079995792958755
vit_b_16,stack,15,0.7370650946551988,0.8585249528436543,4.1883385590229815e-05,0.0002931836991316087,0.7285714285714285,0.0020652097446907935,0.010326048723453968,0.5428571428571429,0.00414288160001619,0.02071440800008095
resnext50_32x4d,concat,15,0.2474405131257553,0.4974339284023108,0.05920113478419819,0.23680453913679275,0.4535714285714285,0.0894859001430273,0.1789718002860546,0.33333333333333337,0.09264256691158146,0.18528513382316292
vit_b_16,concat,15,0.728812842581513,0.8537053605205446,5.144207493805303e-05,0.00030865244962831816,0.807142857142857,0.0002752442706954195,0.0019267098948679365,0.6571428571428571,0.00033037090163412914,0.002312596311438904
resnext50_32x4d,ca,15,0.08170055196315419,0.28583308409481606,0.3017265149779785,0.4510895541512855,0.3178571428571428,0.24829056581701822,0.24829056581701822,0.2571428571428572,0.20184282422518202,0.20184282422518202
vit_b_16,ca,15,0.8235578495071281,0.907500881270717,2.9899954745384953e-06,2.3919963796307963e-05,0.8535714285714284,5.17314356670977e-05,0.0004138514853367816,0.6952380952380953,0.00011760372441589373,0.0009408297953271499
resnext50_32x4d,-,35,0.06165290639629153,0.24830003301709713,0.15036318471709517,0.4510895541512855,0.3675070028011205,0.029864437455684394,0.08959331236705317,0.23361344537815124,0.04838185040483919,0.14514555121451755
vit_b_16,-,35,0.3575039340202583,0.5979163269390277,0.00014877435797067305,0.0007438717898533652,0.5131652661064426,0.0016190710508201575,0.009714426304920944,0.37142857142857144,0.001698053845893375,0.01018832307536025
