encoder,exp_type,input,af1,Qal,Qaf,Qat,Qc,Qca,Qr,af1_cd,Qal_cd,Qaf_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd
resnext50_32x4d,single,dem,0.7028862478777589,0.8126801152737753,0.2285714285714285,0.4571428571428571,0.8830670926517572,0.75,0.9718213058419244,0.558252427184466,0.6831530139103554,0.0,0.0232558139534883,0.6875957120980092,0.6112852664576802,0.9917952084017068
resnext50_32x4d,single_sa,dem,0.7354409317803661,0.802407221664995,0.1333333333333333,0.4020618556701031,0.8937329700272479,0.7825086306098964,0.9692573402417962,0.5527638190954773,0.661378889566809,0.0,0.1616161616161616,0.764525993883792,0.5625,0.9917952084017068
vit_b_16,single,dem,0.6586151368760065,0.8081841432225064,0.25,0.3538461538461538,0.9012265978050356,0.778149386845039,0.9657320872274144,0.5228658536585366,0.6937101185050136,0.0,0.0227272727272727,0.7606112054329371,0.6233382570162481,0.9924416694051924
resnext50_32x4d,single,ep-101,0.7310704960835509,0.8145315487571702,0.074074074074074,0.2985074626865671,0.8491271820448878,0.7469613259668508,0.964484679665738,0.7203579418344519,0.6767219708396179,0.1052631578947368,0.3267326732673267,0.341025641025641,0.176,0.989466754443713
resnext50_32x4d,single_sa,ep-101,0.7256637168141593,0.8034102306920762,0.0952380952380952,0.3376623376623376,0.8505291005291006,0.755750273822563,0.9658502932045532,0.6945337620578779,0.7397708674304418,0.0,0.3294117647058823,0.3164763458401305,0.3926701570680628,0.9914586070959264
vit_b_16,single,ep-101,0.6724436741767764,0.7961942914371557,0.074074074074074,0.3101604278074866,0.7911318553092183,0.7144408251900108,0.9633977900552486,0.6182618261826183,0.6863100634632819,0.0,0.2295081967213114,0.5482166446499339,0.6311926605504588,0.9911154985192496
resnext50_32x4d,single,ep-11,0.7199312714776632,0.803666184273999,0.0952380952380952,0.3121387283236994,0.87109375,0.7432150313152401,0.9653018736988204,0.6793349168646081,0.6260869565217392,0.0,0.3834196891191709,0.1326352530541012,0.0064935064935064,0.9914642153644124
resnext50_32x4d,single_sa,ep-11,0.7116759332803813,0.8034849951597289,0.0833333333333333,0.3389830508474576,0.8612565445026178,0.7567567567567568,0.963773069036227,0.5823451910408433,0.6481257557436517,0.0,0.3979591836734694,0.1425959780621572,0.0517799352750809,0.9917952084017068
vit_b_16,single,ep-11,0.6785079928952042,0.7908560311284046,0.0821917808219178,0.2878787878787879,0.8423101881894873,0.721627408993576,0.9518114667604644,0.5943502824858757,0.6980219780219781,0.0,0.3101604278074866,0.6590909090909091,0.6383701188455009,0.988110964332893
resnext50_32x4d,single,ep-201,0.7126637554585152,0.8084886128364389,0.0705882352941176,0.3056768558951965,0.8369497830130193,0.7684848484848484,0.96986301369863,0.7068366164542295,0.7289927657206455,0.0714285714285714,0.2857142857142857,0.4692218350754936,0.3446327683615819,0.9917952084017068
