split,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
split_seed_42,resnext50_32x4d,s-10,none,0.6339769732336834,0.7031771877982159,0.6558240975747501,0.879000199211119,0.6838062071067289,0.8704427083333334,0.5355521549661909,0.6564688463489322,0.5851958098800534,0.8246960462908547,0.6092496173036842,0.8537946428571429
split_seed_90,resnext50_32x4d,s-10,none,0.6427990638328763,0.7218991652116232,0.659824283400602,0.889508307844469,0.7078397859322478,0.8748139880952381,0.5537600952536075,0.6421920048020987,0.590401742755402,0.7955795696694379,0.6222743870563964,0.8727678571428571
split_seed_128,resnext50_32x4d,s-10,none,0.6273285933515146,0.7634452674811596,0.668015881958271,0.8837443897359494,0.7135463571099913,0.8696056547619048,0.5532125551640729,0.7014587107132657,0.6145279357506397,0.8036841883717694,0.6405312981848604,0.8558407738095238
split_seed_256,resnext50_32x4d,s-10,none,0.6261922648912938,0.7183591283372809,0.6570288746721534,0.8835295640141229,0.6979830315434775,0.8732328869047619,0.5538696190803637,0.6762334447289036,0.5992815974013228,0.8002034671943379,0.616687784960995,0.8594680059523809
split_seed_42,resnext50_32x4d,prc-ms+s-ms,stacking,0.667842142644593,0.6811038491305123,0.6705841565708096,0.8972309099200826,0.7026023532613371,0.8890438988095238,0.5694699203219764,0.680646156396385,0.6153909642984717,0.8495310304271825,0.6487780998223461,0.8678385416666666
split_seed_90,resnext50_32x4d,prc-ms+s-ms,stacking,0.636568903431133,0.7884234040962687,0.6657196183863878,0.9047954813076392,0.7176032748305491,0.8697916666666666,0.5314408911791706,0.7629690628360144,0.5977784429643206,0.839540357898839,0.6629201591900332,0.8429129464285714
split_seed_128,resnext50_32x4d,prc-ms+s-ms,stacking,0.6580014684399834,0.7332028012588195,0.6813428418529793,0.8925830817328338,0.723961461551536,0.8856026785714286,0.5514762188887055,0.6985923735091868,0.6073939944303686,0.8154260841047696,0.6420869866747714,0.8662574404761905
split_seed_256,resnext50_32x4d,prc-ms+s-ms,stacking,0.6399564680375065,0.7507363702964993,0.6716926422232161,0.8943150177153557,0.707985756340501,0.8753720238095238,0.5521389120691191,0.751116672234538,0.6196553354520162,0.8479991113701791,0.6615120583451188,0.8628162202380952
split_seed_42,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6114410848826016,0.6435956538927992,0.6246910034836424,0.8788346862126614,0.6690867855304289,0.8713727678571429,0.5478569460825747,0.6399865006847376,0.5783885621854404,0.8327777618242909,0.6210799678699505,0.8635602678571429
split_seed_90,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6468381234184041,0.6714441484438606,0.6563373217786534,0.8983917292371884,0.6959768438221499,0.8756510416666666,0.5109992419940154,0.6174732338881285,0.5556995802864481,0.751596957539265,0.5916901049934401,0.8556547619047619
split_seed_128,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6113930260689238,0.6944277041551794,0.647830170213037,0.8838973545359019,0.6826419017599598,0.8692336309523809,0.5117643401903578,0.6569192900008282,0.5638894509153685,0.7770521796252889,0.6002196096219483,0.8456101190476191
split_seed_256,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.5844664864657059,0.7363322115662402,0.6394552951379008,0.8758641146528959,0.6604986605518023,0.8512834821428571,0.5180744127703989,0.6947782091523366,0.5857521848326351,0.8182155020984491,0.609432063393551,0.845703125
split_seed_42,resnext50_32x4d,prc-ms+s-ms,concat,0.5891104079732582,0.7029331492657003,0.632279197108412,0.8867593008623988,0.6715595330195764,0.8600260416666666,0.4852846003252298,0.6436642654184412,0.5470221824905718,0.7601029210802791,0.587051371383901,0.8358444940476191
split_seed_90,resnext50_32x4d,prc-ms+s-ms,concat,0.6189688817194333,0.757322861397185,0.6621200914143912,0.8953369509217831,0.698762656506891,0.8600260416666666,0.4918041669752503,0.6156971508100072,0.538762496704989,0.7851241630800473,0.5718237342148206,0.8324032738095238
split_seed_128,resnext50_32x4d,prc-ms+s-ms,concat,0.6241048558944634,0.672782681746621,0.6456065901903459,0.8612059570141698,0.6766187852742842,0.8686755952380952,0.5115723018571157,0.64395979021867,0.5648104742870209,0.7710793278933578,0.6055779345860036,0.8450520833333334
split_seed_256,resnext50_32x4d,prc-ms+s-ms,concat,0.6137670460300958,0.6841128235153346,0.6417122371022008,0.858600398423197,0.67500452664688,0.8603980654761905,0.4698354798218681,0.6425030431996818,0.5330095640423416,0.7221728192964266,0.5356667850204401,0.8109188988095238
split_seed_42,resnext50_32x4d,prc-ms,stacking,0.7115040510997366,0.671338215465806,0.6646717549208567,0.902623476396754,0.713697353082195,0.884765625,0.56438503897685,0.686653404785995,0.6111881784922072,0.820241167238788,0.6319918862214177,0.8588169642857143
split_seed_90,resnext50_32x4d,prc-ms,stacking,0.6432618573103067,0.6939737720641502,0.662777482328491,0.9065072066683394,0.7186235397547642,0.8826264880952381,0.5196943823405863,0.6594126489955847,0.5776607546906399,0.7907779181097256,0.6121686730663249,0.8633742559523809
split_seed_128,resnext50_32x4d,prc-ms,stacking,0.6529569575794972,0.6930187335422783,0.6703456951931417,0.9024143709450472,0.7181871310497997,0.8862537202380952,0.5737339156683612,0.6789125606282685,0.6070802506057353,0.8190972346752851,0.638813719678848,0.8680245535714286
split_seed_256,resnext50_32x4d,prc-ms,stacking,0.6508730398794356,0.649177320361219,0.6432349444743927,0.8994632154911096,0.7074353079329027,0.8835565476190477,0.5504647562428104,0.6841416839722623,0.5968589571066235,0.7872791119333448,0.6342817973890068,0.8636532738095238
split_seed_42,resnext50_32x4d,prc-ms,cross_attention,0.603652915192255,0.6469629519611593,0.6191608734753864,0.8622988488953601,0.6662407945903206,0.8591889880952381,0.4960795100679576,0.6243338789050126,0.5425500412849356,0.7604876891674578,0.566436107950061,0.8314732142857143
split_seed_90,resnext50_32x4d,prc-ms,cross_attention,0.6032267784398085,0.6967261764599187,0.6353364656535053,0.8553295651156244,0.6606655432225611,0.8504464285714286,0.6574913932291151,0.6419345913758383,0.5775881257575798,0.7625861356033207,0.5795069348052216,0.8450520833333334
split_seed_128,resnext50_32x4d,prc-ms,cross_attention,0.6337574019075972,0.6895198146090326,0.6489618108540727,0.8808015766281798,0.6839161582344758,0.8710007440476191,0.5116235438266595,0.6197277437938205,0.5546207172891833,0.8092238508943834,0.5988335995991727,0.8533296130952381
split_seed_256,resnext50_32x4d,prc-ms,cross_attention,0.5850277197600378,0.7272324215178524,0.6354931509902508,0.851544644082546,0.6555228800857928,0.8319382440476191,0.4751872713379773,0.6286655256819412,0.5265843906285146,0.7697105884872512,0.5638196322361221,0.8207775297619048
split_seed_42,resnext50_32x4d,prc-ms,concat,0.5896225418948724,0.6826014944027171,0.6165970543754032,0.8397149850892094,0.6491923149523732,0.8404947916666666,0.4777323439903136,0.5928766649630554,0.5145396385600359,0.7219580009876851,0.5587650837184465,0.8098958333333334
split_seed_90,resnext50_32x4d,prc-ms,concat,0.5812106808984483,0.6852228480091603,0.61370451422371,0.8269143800141283,0.6424435991539009,0.8400297619047619,0.439634071327868,0.6195721923010685,0.5057333546066219,0.7317128022393922,0.513464131379285,0.7941778273809523
split_seed_128,resnext50_32x4d,prc-ms,concat,0.5416383266183308,0.6460118202267385,0.5755861540560534,0.8205235415802811,0.6260604450937117,0.8188244047619048,0.4024069878217315,0.5953005352661018,0.4690910424333439,0.6682177905055303,0.4620382407659071,0.7587425595238095
split_seed_256,resnext50_32x4d,prc-ms,concat,0.5742463316110467,0.6796253637699167,0.6156502412965773,0.8017348421141196,0.6412715432734272,0.8331473214285714,0.4357036976954912,0.616980049712464,0.5026662171342233,0.7173840385281754,0.5273449225886832,0.7948288690476191
split_seed_42,resnext50_32x4d,dem,none,0.647004321882072,0.7726354361511479,0.6773059586956123,0.9122372054559548,0.7203424384467525,0.8786272321428571,0.4523360013048993,0.6454903062250705,0.5230408251817741,0.6678095781813761,0.5513338472786853,0.8285900297619048
split_seed_42,resnext50_32x4d,dem,none,0.6639380174147479,0.6865105596153614,0.6686985132514115,0.9016333076351636,0.7226753070161108,0.8814174107142857,0.5209309737635165,0.5965240943613779,0.534797410629852,0.7329676143700967,0.5420929622165714,0.8575148809523809
split_seed_90,resnext50_32x4d,dem,none,0.637812029135986,0.744919158088999,0.6638231406728071,0.9059164658437976,0.7173441393934988,0.8717447916666666,0.4321561061705624,0.6668038590295476,0.5060694237374997,0.71325824753234,0.566722035059795,0.7882254464285714
split_seed_128,resnext50_32x4d,dem,none,0.6714710153556203,0.7227836600030659,0.6926661927519583,0.8944048386011824,0.7233516474682319,0.8869047619047619,0.5150613340007604,0.6471005986721521,0.5620776711354212,0.7448609803825301,0.5945957244736905,0.8568638392857143
split_seed_256,resnext50_32x4d,dem,none,0.7036057036743716,0.704301169483648,0.7036835780837899,0.9044112479860498,0.7346284366784614,0.8891369047619048,0.4568950336268515,0.6578805628613503,0.5211937984532888,0.8037622164067381,0.597702694674643,0.8129650297619048
split_seed_42,vit_b_16,s-ms,stacking,0.6334652305741564,0.6527817521980461,0.6401206275170638,0.8879853402283119,0.693651968476038,0.8791852678571429,0.5276009821828462,0.6435687832327334,0.5761609632102698,0.8210708322138969,0.6050325330976086,0.8610491071428571
split_seed_90,vit_b_16,s-ms,stacking,0.639094155857949,0.7710467673906292,0.6668854003129701,0.9007996549084724,0.701718920133971,0.8734188988095238,0.5190058031578959,0.6384270765060532,0.5600325117634299,0.7725502060705762,0.59440215870664,0.8523995535714286
split_seed_128,vit_b_16,s-ms,stacking,0.6019345799136282,0.7676208258779212,0.6577702124422665,0.8922787487701705,0.703449212364663,0.8620721726190477,0.5217548015737253,0.6869533596468663,0.5861026643554726,0.7859264456679405,0.6029247784758508,0.8405877976190477
split_seed_256,vit_b_16,s-ms,stacking,0.6313000724944977,0.6860048838379708,0.6527938198852462,0.8767679700918951,0.6810367099236261,0.8700706845238095,0.53745844180838,0.6835802025913639,0.5953381763786563,0.8188322628691157,0.6152765995640993,0.8501674107142857
