seed,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
42,resnext50_32x4d,dem,none,0.6884207609790813,0.696601086290195,0.6796236276797607,0.90918484021167,0.732415441466218,0.8856026785714286,0.5178659049642009,0.6066945878500977,0.5429882243971199,0.7720763229745179,0.5968124598720586,0.8586309523809523
90,resnext50_32x4d,dem,none,0.669951441607132,0.7147950355144952,0.6797197777587074,0.9113757907768988,0.7340393355772602,0.8839285714285714,0.5240233325722732,0.6010498834924196,0.5302380125538353,0.7637791346415765,0.582809367970733,0.8506324404761905
128,resnext50_32x4d,dem,none,0.6531560990981847,0.7211008408010876,0.6810978368391629,0.9082521583594876,0.740455172700291,0.8835565476190477,0.5326862711891495,0.60423661452262,0.5553699224168978,0.7726216900159429,0.5818708987615775,0.8543526785714286
256,resnext50_32x4d,dem,none,0.6842313972175358,0.6921259039424897,0.6799429841002179,0.9076839314602966,0.7417988684343346,0.8868117559523809,0.4810458753794803,0.5333597605078054,0.4920375401583235,0.7446261039380943,0.5512825917465355,0.8465401785714286
42,vit_b_16,dem,none,0.601181875693341,0.6912379626084466,0.6363242465851034,0.8955950908304698,0.6981449857942444,0.8698846726190477,0.4569901242777002,0.6774492905400853,0.5355486946691815,0.7466854986460797,0.5895052163946178,0.8098958333333334
90,vit_b_16,dem,none,0.6298283057481252,0.743850437088221,0.6585311302917252,0.8983748629254876,0.6982803981961515,0.8678385416666666,0.4598502999477037,0.6350555720788291,0.5257299399247152,0.7365423538109749,0.5572840016712453,0.8235677083333334
128,vit_b_16,dem,none,0.635537452466605,0.7232928384582774,0.6601752461215193,0.8930240670281978,0.6869956851291372,0.87109375,0.4573758215517061,0.6268659798635328,0.520547720865088,0.7584684162022787,0.5575616700718972,0.8252418154761905
256,vit_b_16,dem,none,0.6106773839760802,0.692098428343926,0.6460744404153779,0.9014106453549046,0.7012761676907263,0.8729538690476191,0.4588758277933364,0.6582729837837783,0.5207220244193452,0.6987507957732403,0.5439993175010782,0.7957589285714286
42,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6226710604527163,0.7141131800117116,0.6599580432240016,0.9033523619571784,0.7083018873900601,0.8783482142857143,0.5037950803153992,0.662146124311119,0.5671850083092377,0.8122715880153802,0.6086489374902475,0.8550037202380952
90,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6283758013456989,0.7281777426639113,0.6675977069499236,0.9033732823220492,0.7030606933333355,0.8773251488095238,0.5355736926348325,0.7123928430135887,0.6032972827732552,0.8222517791763313,0.6286334279524456,0.8570498511904762
