encoder,exp_type,input,af1,Qal,Qaf,Qat,Qc,Qca,Qr,af1_cd,Qal_cd,Qaf_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd
resnext50_32x4d,ca,dem+ep-ms+rgb+s-ms+sds-ms,0.8516537662314093,0.7965493084246452,0.8407495328046871,0.8950263962211725,0.9635532679744104,0.9156413546698872,0.90330557795107,0.8355705889108125,0.6736844809426352,0.768082788671024,0.7978156182405669,0.9658706952566602,0.904360253757844,0.7378424884182659
resnext50_32x4d,concat,dem+ep-ms+rgb+s-ms+sds-ms,0.622502109742929,0.5244081192742949,0.4907318551441992,0.5027396499027508,0.8597698243994958,0.4247580347557703,0.3803074546575519,0.6347145228475681,0.6457017100677347,0.3425925925925925,0.472535004406149,0.7165224983755686,0.9051747003554232,0.8103375248180013
resnext50_32x4d,stack,dem+ep-ms+rgb+s-ms+sds-ms,0.8652849740932642,0.8103538710256872,0.8076670538916106,0.8755098638510698,0.9667443079548674,0.9237453032742888,0.928441249601962,0.8577552277448923,0.6167033456357736,0.5906318082788671,0.7084019476068826,0.9134868421052632,0.9426891716048342,0.8602250165453343
vit_b_16,ca,dem+ep-ms+rgb+s-ms+sds-ms,0.8739925410379026,0.8462654930842465,0.9028738825193192,0.9228896915809948,0.9778018298010224,0.9530180656199678,0.9466730804409244,0.7784605426623653,0.7068188629805017,0.6041394335511983,0.4627079568820487,0.9749675113710202,0.9399930725231932,0.8254930509596294
vit_b_16,concat,dem+ep-ms+rgb+s-ms+sds-ms,0.8903532571708574,0.8490156278067182,0.912419819182787,0.9400944706863018,0.979277749409208,0.9403830347557705,0.9484820357861504,0.8758745967615649,0.715044657001687,0.6606753812636166,0.6975868545436743,0.9759969948018192,0.946989200001248,0.872137657180675
vit_b_16,stack,dem+ep-ms+rgb+s-ms+sds-ms,0.8602451838879158,0.8377249865277527,0.8633264306278094,0.9321589330369549,0.9783379109460644,0.9409638352120234,0.9461378464623744,0.8425778028333699,0.6054984200926536,0.7010893246187364,0.7701414418343822,0.970299301494477,0.9282413258316872,0.8104831237590999
resnext50_32x4d,ca,dem+nhd+osm+rgb,0.8025080986905982,0.693271061613077,0.7404414364361835,0.7972325646012781,0.888501907668505,0.8063565150295222,0.8419569238273971,0.7773163372900289,0.6008237782478014,0.5013071895424837,0.7052508834551329,0.9243421052631576,0.8383994408090792,0.5826604897418928
resnext50_32x4d,concat,dem+nhd+osm+rgb,0.8128562743300999,0.6440668223459673,0.736956411939997,0.7807724367879966,0.8870599172467144,0.8023852657004832,0.8178713947926477,0.7756971196508922,0.6332474160593943,0.7793028322440088,0.7517691355936729,0.8661630929174788,0.8967057039346196,0.6528656518861682
resnext50_32x4d,stack,dem+nhd+osm+rgb,0.8545738319283505,0.7586096640919706,0.8315571493509774,0.8861794943039732,0.933914427198993,0.8951435017444981,0.9239561243639862,0.7717247643208369,0.6026939775130802,0.7124183006535947,0.5413243370748512,0.857167803768681,0.775487341752402,0.6168100595632031
vit_b_16,ca,dem+nhd+osm+rgb,0.8502790305164106,0.801514280582001,0.8872670336885702,0.9213003612114476,0.9582212963324248,0.9250578703703703,0.930439908129459,0.8186037771305084,0.6071074422627356,0.6039215686274509,0.5520949235822437,0.9131335282651072,0.820728133981146,0.7296624751819987
vit_b_16,concat,dem+nhd+osm+rgb,0.8638911826356814,0.820415843362673,0.865750795494722,0.9090302861906084,0.96038937134307,0.9294610507246376,0.9472557402150422,0.8031841481620678,0.5986453043783557,0.501525054466231,0.4915304024282777,0.9157224658869396,0.9031245416787586,0.6923097286565189
vit_b_16,stack,dem+nhd+osm+rgb,0.8284048528624448,0.799549128794683,0.933228950957119,0.8908919144206724,0.9518867172324644,0.9207846886741814,0.9307583384711278,0.6238487477423867,0.4860257409294479,0.3340958605664488,0.548810339763047,0.9045281026640676,0.9003098641652859,0.8181866313699537
resnext50_32x4d,ca,dem+rgb,0.8034463671587887,0.6996173881803486,0.7759987878175666,0.8610614059460961,0.9092954095507266,0.8350694444444444,0.8665912370680018,0.7326756240408406,0.5383125390695245,0.5596949891067537,0.7805025680282706,0.887828947368421,0.8568664713243027,0.6915684976836531
resnext50_32x4d,concat,dem+rgb,0.7851655581064036,0.7015520028740794,0.5325521490984393,0.703828841344818,0.8814531191949282,0.8646063976113794,0.7263463844605993,0.8278325868854854,0.6971321898629035,0.2479302832244008,0.7275664705411108,0.8471734892787526,0.8321740731379286,0.8139774983454666
resnext50_32x4d,sa,dem+rgb,0.8463344918014936,0.7538710256870846,0.9056012929945956,0.8589608224506807,0.9274000234111386,0.8975296061460012,0.9163137961639308,0.8100201488719763,0.5280624084809769,0.4488017429193899,0.4485548721326651,0.8008325211176088,0.8546665293653246,0.6873064195896758
resnext50_32x4d,stack,dem+rgb,0.849795377621299,0.7515358361774744,0.8612556189706551,0.8884356765768269,0.9133974481858912,0.8823784722222223,0.9176010677579116,0.8025285268355832,0.5801693797686228,0.417755991285403,0.6154544564414338,0.8741776315789473,0.8495582953414277,0.7202911978821971
vit_b_16,ca,dem+rgb,0.854307958948486,0.8220154481767559,0.9250467195312896,0.918566268407891,0.96590116767295,0.9187089036500268,0.9390307522408688,0.6343376449831396,0.5336010755358411,0.7855119825708061,0.4363778784614973,0.9412097953216374,0.8856966326845844,0.7916876240900065
vit_b_16,concat,dem+rgb,0.8522163643457982,0.8318070774205137,0.8684276983686046,0.918666296193387,0.9628560231939918,0.9385441827697262,0.9420592280435504,0.6590789981939094,0.5572405997653688,0.5235294117647058,0.4246459503484863,0.88862897985705,0.9220658859213076,0.7462607544672402
vit_b_16,stack,dem+rgb,0.8485885139243032,0.785859529369499,0.907217536239204,0.8956710197277021,0.9385050461182468,0.9197279253891574,0.9307447882438228,0.7424598327539227,0.5456871526558713,0.3997821350762527,0.3567823540407502,0.9526559454191034,0.9217132711108614,0.7217471872931834
resnext50_32x4d,ca,dem+s-ms,0.8376940736640563,0.7494215915214657,0.9058033234001716,0.8559377604890247,0.9510808990555812,0.8950785024154589,0.9137663534305788,0.8393414555211041,0.7129672286969404,0.7387799564270152,0.6415887060163963,0.94911671539961,0.8752679716535138,0.6081800132362674
resnext50_32x4d,concat,dem+s-ms,0.8347867117955046,0.7296604993712951,0.8898934289610586,0.8428007779938872,0.9638637200299256,0.9213508118625872,0.8865845974566224,0.8515101214152234,0.7258120038705589,0.3508714596949891,0.5774547590860134,0.9396929824561404,0.9241878157540808,0.7761217736598279
resnext50_32x4d,sa,dem+s-ms,0.8706260265147048,0.8363553080653853,0.9160563664831556,0.9320477910530705,0.9691753341600746,0.9386469236446592,0.9297081958549854,0.8317349953542756,0.6905856361160825,0.7812636165577342,0.6221927489919266,0.9632350552306692,0.9381488658597092,0.855354070152217
resnext50_32x4d,stack,dem+s-ms,0.8563814052249031,0.8344853601580743,0.9080761654629022,0.8902584051125312,0.9653379431787916,0.9330842391304348,0.9481907058990916,0.8479209078476202,0.6555613594910044,0.5530501089324618,0.717846238750968,0.961001461988304,0.943881196893245,0.8256783587028459
vit_b_16,ca,dem+s-ms,0.8329355825159026,0.8113562062151967,0.9041365725541696,0.8959377604890247,0.9753283921128212,0.943744129092861,0.9376418539421,0.7996888930648209,0.5965678760736091,0.6108932461873638,0.3364072527883357,0.9726039636127356,0.9578484879689698,0.8608868299139643
vit_b_16,concat,dem+s-ms,0.8373692186238124,0.813134542841746,0.8707005404313348,0.8641844956932481,0.974152745804232,0.9460253958668814,0.938509068489624,0.8077714094814537,0.5861687460930475,0.6139433551198257,0.4843737482531177,0.970788661468486,0.9501315284447814,0.8136068828590338
vit_b_16,stack,dem+s-ms,0.8319283504078837,0.8219184479971259,0.8369109550987424,0.9078632953598222,0.9754081257008498,0.9476336050724636,0.9301485782424,0.7865326192489586,0.5746444138072769,0.8872549019607844,0.741034154330933,0.9612187296946068,0.931183943232136,0.8442223692918598
resnext50_32x4d,ca,ep-ms+prc-ms,0.8174332822155477,0.7829351535836178,0.7278145360876812,0.8683523200889136,0.9020006344757856,0.8882913144122383,0.8642944735397937,0.8206437199202397,0.7117855093809675,0.564161220043573,0.7066750932412343,0.8933499837556856,0.9247120572421778,0.8416942422236929
resnext50_32x4d,concat,ep-ms+prc-ms,0.7884431458308757,0.7803808155200287,0.7298348401434417,0.8881800500138928,0.921940817320171,0.8938372249060654,0.870710506168741,0.7902491987430446,0.7457573707601538,0.5079520697167756,0.6460927694649421,0.8753736192332684,0.8965621616224025,0.8017471872931834
resnext50_32x4d,sa,ep-ms+prc-ms,0.8754099253196372,0.8522669301239446,0.9200969745946764,0.8884579049736037,0.9634124618508711,0.9417878589640364,0.9302231044925778,0.8755697537244094,0.7435223798799442,0.7240740740740741,0.690741746259224,0.8739603638726446,0.9118088515678876,0.7984910655195235
resnext50_32x4d,stack,ep-ms+prc-ms,0.8485413282759997,0.8370145500269445,0.8535784635587655,0.8952709085857181,0.9559734877337508,0.9376509661835748,0.9268490978936172,0.847682879722718,0.7504568458370084,0.6579520697167756,0.6689424352207081,0.8192982456140351,0.8843860289643423,0.8482594308405029
vit_b_16,ca,ep-ms+prc-ms,0.8320154623739825,0.8457283994970362,0.8584777008939846,0.8964378994165046,0.9577785204499688,0.953762412775094,0.9295930189228924,0.8627078831156629,0.6655477440293204,0.6778867102396514,0.5573199932350035,0.9532062215724496,0.9552584853789672,0.8691462607544672
vit_b_16,concat,ep-ms+prc-ms,0.8529586308902661,0.8427249865277529,0.8466589221677863,0.9149208113364824,0.9646644488288494,0.9517537238325282,0.9336106613188436,0.8520926639314312,0.7204317557095026,0.6671023965141613,0.6522524767898311,0.9510416666666666,0.9526372779384829,0.8817471872931834
vit_b_16,stack,ep-ms+prc-ms,0.8374726640835549,0.8604652416022992,0.8532754179504015,0.9164656849124756,0.9643794436631308,0.947866344605475,0.9327773223395822,0.8211009844759727,0.7615444557668759,0.7509803921568627,0.6809859092244288,0.956536306042885,0.9541756770672432,0.9407809397749834
resnext50_32x4d,ca,ep-ms+prc-ms+s-ms,0.8097365770441822,0.7880114963175857,0.7907470074246175,0.8489580439010835,0.9138571886615446,0.9136515365002684,0.8646196789951153,0.8310877258918226,0.7020919857166099,0.6068627450980392,0.7581068691418246,0.9363425925925926,0.951698011938976,0.8438385175380543
resnext50_32x4d,concat,ep-ms+prc-ms+s-ms,0.7940854604684082,0.7885144602119634,0.747815546239709,0.836376771325368,0.9527434291889398,0.9261691492216856,0.8948163605444481,0.7591990562393645,0.7277352948732221,0.5389978213507625,0.6986461105720874,0.9560205490578296,0.9482217915952856,0.7955790866975513
resnext50_32x4d,sa,ep-ms+prc-ms+s-ms,0.8674972550656515,0.8623028561164002,0.8877721097025103,0.9095748819116422,0.962289405781194,0.9371812936124532,0.9388342739449456,0.8552914278555546,0.7541510031769412,0.7038126361655773,0.8372128214485994,0.855305799220273,0.8455484720544962,0.9192852415618796
resnext50_32x4d,stack,ep-ms+prc-ms+s-ms,0.8680398900211429,0.8567019938925815,0.8105964947724633,0.909397054737427,0.9576428037043886,0.9350384125067096,0.9435633032744124,0.8935346132564961,0.7338117298486886,0.4057734204793028,0.7711383886846532,0.9241228070175438,0.9002942617400449,0.8094771674387824
vit_b_16,ca,ep-ms+prc-ms+s-ms,0.8477028756022975,0.8492850727501347,0.902368806505379,0.8978716310086134,0.9725003944267918,0.9526595209339774,0.938000934965684,0.8315157589234449,0.6801411212632409,0.6169934640522876,0.5457304861006027,0.9717511371020142,0.9532738568883148,0.871211118464593
