encoder,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
resnext50_32x4d,dem,0.666062569211739,0.718795015042543,0.6865955781942146,0.902980369109422,0.7357147160433531,0.8771391369047619,0.4743631940011273,0.5848742403876864,0.507905348857958,0.7525659475624246,0.5648016176721544,0.8372395833333334
vit_b_16,dem,0.6389819593918099,0.739519809912399,0.673679072260308,0.9012725789106416,0.7202185158279305,0.8720238095238095,0.4392226558448788,0.6491793391845675,0.5165277681064573,0.7514555181427296,0.5794861829814353,0.810546875
resnext50_32x4d,ep-101,0.6098584485670024,0.6817474719813557,0.6398223956112628,0.8492244083893977,0.682125525551284,0.8684895833333334,0.4675704663543261,0.5310695187576855,0.4765097341864982,0.725126099140985,0.5045955803904681,0.8216145833333334
vit_b_16,ep-101,0.5793336074581186,0.6727068389005947,0.6174061340071386,0.8657722684004575,0.670825416672174,0.8450520833333334,0.4722973692277462,0.6303005681501624,0.5292292700124077,0.7879260821133391,0.5614849033996114,0.8045944940476191
resnext50_32x4d,ep-11,0.6144647574769383,0.6883063338443044,0.6443692763325025,0.8816640719219874,0.7044844383107887,0.8683965773809523,0.4229647737082862,0.4091045119352711,0.4027763624882197,0.6591121495837188,0.4712139479232532,0.826171875
vit_b_16,ep-11,0.5987584214254847,0.6653985961763007,0.6221690938096918,0.8708678221594984,0.6760422554859716,0.8518415178571429,0.4986269635244477,0.6418161877062499,0.5554435257978062,0.7989088723885356,0.565826937323421,0.8279389880952381
resnext50_32x4d,ep-201,0.6137479585991815,0.7091879374405349,0.6389593006686809,0.8761706687947088,0.6975326409810786,0.8624441964285714,0.532460774883271,0.535215830335941,0.5140888644509306,0.7888083024163324,0.55398220249219,0.8474702380952381
vit_b_16,ep-201,0.5865107633809982,0.6886997420984408,0.6254242832670206,0.8723810734317244,0.6659230264876482,0.8468191964285714,0.4599421981926767,0.6481132057164943,0.524449970932747,0.7920891501339172,0.5659420840379139,0.8060825892857143
resnext50_32x4d,ep-21,0.6163869410690868,0.6851087398291503,0.6399435602513152,0.882305200255438,0.7133499351423428,0.8690476190476191,0.4427542117748494,0.3804480107077995,0.402101570715339,0.6759052691567103,0.4741152644267745,0.8302641369047619
vit_b_16,ep-21,0.5842608116175,0.6964709644347558,0.6260370982879383,0.8638044042601621,0.6718334063508452,0.8479352678571429,0.4776053231994481,0.6729942722510128,0.5492024381672503,0.7692086429640962,0.5629753245084961,0.8155691964285714
