encoder,exp_type,input,af1,Qal,Qaf,Qat,Qc,Qca,Qr,af1_cd,Qal_cd,Qaf_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd
resnext50_32x4d,single,dem,0.8485866990916763,0.8394018322256153,0.8934794686600334,0.9252236732425674,0.9610170612913786,0.914448302469136,0.9387055467855472,0.7744328562331004,0.6599902379708681,0.6287581699346405,0.7223057956436985,0.9531331221572448,0.8933917488134354,0.6359497021839842
resnext50_32x4d,single_sa,dem,0.8676261081821729,0.8316660679001258,0.8859033284509319,0.9329813837176992,0.9666068947499674,0.933857940821256,0.936341032120814,0.7338427970392642,0.6908570890314183,0.5570806100217864,0.5603197350969797,0.9377842755035736,0.8928799892655314,0.7521111846459299
vit_b_16,single,dem,0.7997404789343303,0.8357625291898689,0.9296429112581444,0.9051958877465962,0.9718642221818842,0.9307065217391304,0.9359955013245348,0.7242924405190684,0.6442956353453959,0.7031590413943356,0.4966308537247536,0.9538559941520468,0.92356683922949,0.8143878226340172
resnext50_32x4d,single,ep-101,0.8658675353665508,0.8346542123226155,0.6388201424314359,0.8351319811058627,0.9371360034472054,0.9097704475308642,0.9231905365212502,0.871913725244553,0.6684112725746924,0.7404139433551198,0.8075358500307094,0.5351202079272255,0.7119979529618083,0.7404897418927863
resnext50_32x4d,single_sa,ep-101,0.8585537598794952,0.8339949703610563,0.8364563866861963,0.9033064740205612,0.9392701492714556,0.919008739264627,0.9188341384426724,0.8613444413124954,0.7749800905984809,0.7467320261437909,0.7432817353996244,0.6372502436647174,0.8318589041480609,0.8288815354070153
vit_b_16,single,ep-101,0.8354454960391279,0.8156978624034489,0.81433405727562,0.8878021672686858,0.892491979988566,0.9052582360440152,0.9093760797837384,0.8097758568490505,0.6494164190479452,0.7417211328976034,0.7087758026757341,0.8294448505523067,0.8996046345443935,0.8767438782263404
resnext50_32x4d,single,ep-11,0.8618531255954921,0.8246955272139394,0.8203444618415072,0.8803111975548763,0.9470772550609624,0.9117644592055822,0.9256024769815516,0.856917953375719,0.6234733984706154,0.7555555555555555,0.8388951692584318,0.3475288336582196,0.6376087098978666,0.5538054268696228
resnext50_32x4d,single_sa,ep-11,0.8542253840639547,0.82413328543201,0.8720642456689731,0.904784662406224,0.9478253936209736,0.9169937600644122,0.9129601149059277,0.8216730871621409,0.6642170253213335,0.7428104575163399,0.7993555450717891,0.4094785575048733,0.7254566049746773,0.683123759099934
vit_b_16,single,ep-11,0.8297559957532917,0.8005712232800432,0.8129703520379817,0.9035176437899416,0.9283873627352354,0.9102359265968868,0.9106362509231094,0.8051029889233403,0.6974849930210056,0.7770152505446624,0.762308288010824,0.8308053118908383,0.9064884245607135,0.8131568497683653
resnext50_32x4d,single,ep-201,0.8612088600128853,0.8371654391952579,0.7717561493004698,0.9010169491525424,0.925744279115059,0.9255380267042406,0.9107649780825072,0.8660068694081661,0.7766875893782272,0.6752723311546841,0.773105578451706,0.6870695256660169,0.8751244293412969,0.868391793514229
resnext50_32x4d,single_sa,ep-201,0.8718510385379709,0.8483779414406323,0.8055457346330623,0.9028174492914698,0.9368917133051607,0.9279241311057432,0.92955914335463,0.8794993057513023,0.7309396381198675,0.7821350762527234,0.8451705936284415,0.5802489441195582,0.7849798572690139,0.6969556585043017
vit_b_16,single,ep-201,0.844173026142664,0.8236734327285791,0.850446992272337,0.9008168935815504,0.8752084524389147,0.9050254965110036,0.9073232203470214,0.8282230365289653,0.7426044066142028,0.7165577342047931,0.7068620207756603,0.801498538011696,0.9046691817776156,0.8442091330244871
resnext50_32x4d,single,ep-21,0.865186973131403,0.8267648643793786,0.7897873629981312,0.9055959988885802,0.9478220007023344,0.9128631575415996,0.9281160441466404,0.8510486809274744,0.6671045307803629,0.7555555555555555,0.8538048654566818,0.4394980506822612,0.5616779472201159,0.6026472534745202
