input,f1_id_stack,f1_id_sa,f1_id_concat,f1_id_ca,f1_cd_stack,f1_cd_sa,f1_cd_concat,f1_cd_ca
ep-ms,0.6697651386320808,0.6566374689096593,0.6051844781457147,0.6116175484492591,0.3936020134731846,0.3727336076163907,0.5225685255440561,0.524394074013436
plc-ms,0.6200964712326463,0.6221536057856661,0.5408018596880968,0.5414735187397318,0.5420301556085111,0.5484395757455782,0.4550436991624381,0.472282182509314
prc-ms,0.6642990500384057,0.6602755189965622,0.5976181549964917,0.5990472096874079,0.6136296522311205,0.5904166892914315,0.500238279034946,0.5044246839048074
s-ms,0.6582680530338231,0.6444451692760695,0.6029499384623431,0.6284131173413962,0.5963004152748425,0.6005522130028946,0.5680860816942804,0.5600521509845182
sds-ms,0.6385062865985106,0.6441581219159953,0.5832113201282756,0.5813329325820006,0.5926652511777649,0.6061786110535009,0.5348349701431635,0.5514606914832066
