input,f1_id,f1_id_sa,delta_id,delta_rel_id,f1_cd,f1_cd_sa,delta_cd,delta_rel_cd
dem,0.6865955781942146,0.6741060404753911,0.01248953771882344,1.8190530372583575,0.507905348857958,0.5277971532234209,-0.019891804365462895,-3.9164392362061697
ep-101,0.6398223956112628,0.6477291497089837,-0.007906754097720903,-1.2357732633236573,0.4765097341864982,0.4949030720283317,-0.0183933378418335,-3.860013032731593
ep-11,0.6443692763325025,0.6456090975595004,-0.0012398212269978393,-0.19240849502546367,0.4027763624882197,0.402085893170987,0.0006904693172327114,0.17142746733378778
ep-201,0.6389593006686809,0.6349223565224928,0.004036944146188048,0.6317998880309471,0.5140888644509306,0.4727485666163251,0.04134029783460552,8.04146922706812
ep-21,0.6399435602513152,0.657560858226641,-0.017617297975325852,-2.7529455829522345,0.402101570715339,0.407587075326267,-0.005485504610928005,-1.3642087000976615
ep-5,0.6429403629920147,0.6439725957698651,-0.0010322327778503615,-0.16054875961538936,0.4436333940862703,0.4048637479006776,0.0387696461855927,8.739118087682424
ep-51,0.6537215381595287,0.6463535243683288,0.00736801379119989,1.1270875076173277,0.4016161731038989,0.4706891642281814,-0.0690729911242825,-17.19875735841275
nhd,0.5202003664900322,0.5120942384480581,0.008106128041974081,1.5582703443038435,0.4366652608746225,0.4308124568321365,0.005852804042486004,1.340341118678202
nir,0.6111479084894579,0.6000180091634054,0.011129899326052461,1.8211465950299408,0.5196864637907472,0.4789347499816777,0.040751713809069556,7.84159616392824
osm,0.5401407514499709,0.5438154500283502,-0.0036746985783793207,-0.6803224101338112,0.4660743010405649,0.4613416418311508,0.004732659209414125,1.0154302004740263
plc-10,0.6102882373975224,0.6184495524814801,-0.008161315083957787,-1.3372886095200562,0.5362847994665098,0.5327797092309847,0.0035050902355250324,0.6535874667735982
plc-100,0.5621066388056354,0.5537212864252686,0.00838535238036675,1.4917725217022795,0.4497736984059234,0.4327450533272179,0.017028645078705495,3.7860473253678437
plc-20,0.605017966053324,0.5875120636830938,0.017505902370230197,2.8934516580433733,0.5006138728823214,0.4984468157151342,0.0021670571671871808,0.4328799668914864
plc-200,0.5231964733789847,0.5455885147125409,-0.022392041333556212,-4.279853262186694,0.4300292021414337,0.4332550898124868,-0.003225887671053085,-0.7501554906013365
plc-5,0.6206212857056228,0.6170456893495272,0.0035755963560956117,0.5761317631944084,0.5517133073189493,0.550840898989211,0.0008724083297383389,0.1581271138769168
plc-50,0.5884305558037713,0.5773079353077125,0.011122620496058833,1.8902180361565015,0.4453639004652193,0.4640253241395661,-0.01866142367434681,-4.190151840967222
prc-10,0.6384038805615809,0.636671861658068,0.001732018903512933,0.2713045700770707,0.5916782903651382,0.5942609914484774,-0.002582701083339245,-0.43650428372915306
prc-100,0.6330796705015829,0.6265172291394008,0.006562441362182092,1.036590127271459,0.5437083921143394,0.5283247621311732,0.015383629983166225,2.8293898358536125
prc-20,0.6235263881359716,0.6177277279771154,0.005798660158856217,0.9299783087274425,0.5617633040197617,0.5459478535790864,0.015815450440675338,2.8153228107827744
prc-200,0.6255992485077272,0.6196685279950787,0.005930720512648535,0.9480063358124833,0.5175983539470579,0.5215598796679497,-0.003961525720891812,-0.7653667541023543
prc-5,0.6429508209511131,0.637974032905524,0.004976788045589098,0.7740542329858086,0.5866883080566903,0.5902202494598507,-0.003531941403160488,-0.602013258941442
prc-50,0.6285905026006817,0.6507257978359119,-0.022135295235230168,-3.5214173843940224,0.5500128853412181,0.5629201482796712,-0.012907262938453123,-2.346720101011032
rgb,0.6077001224376037,0.616892418929776,-0.009192296492172236,-1.5126369327194047,0.5038042664276721,0.4862834540132604,0.01752081241441167,3.4777022708931384
s-10,0.6740166687839898,0.6491219170055479,0.024894751778441915,3.6934920056732654,0.5986327701127684,0.5833483545499135,0.01528441556285487,2.5532206598004388
s-100,0.6146131338120712,0.6053411164578612,0.009272017354210016,1.5085940804260618,0.5277154829028559,0.5294021701609349,-0.0016866872580790782,-0.3196205744809596
s-20,0.6399925137948222,0.628659796052524,0.01133271774229827,1.7707578601351377,0.5411548457684737,0.5860250170999457,-0.044870171331471975,-8.291558632862934
s-200,0.6029368709333885,0.5877842203578296,0.015152650575558924,2.5131404805450956,0.5323484072183055,0.5230269006210514,0.009321506597254059,1.7510161523656995
s-5,0.6551594257306638,0.6492938946955362,0.005865531035127547,0.8952830112435669,0.5982727813615144,0.5880723274860872,0.010200453875427229,1.7049837788397508
s-50,0.6270958866896098,0.6288401470720181,-0.0017442603824082692,-0.2781489114234321,0.5691953147958092,0.5518638823004686,0.017331432495340637,3.04490076513684
sds-101,0.6108258786290083,0.6128525526266465,-0.0020266739976382286,-0.3317924253941361,0.5510365063957774,0.5580637762348554,-0.007027269839077976,-1.2752820834035083
sds-11,0.6248897307950838,0.6558971368110552,-0.031007406015971406,-4.962060422487479,0.5662750180900092,0.5818828457485697,-0.015607827658560502,-2.7562274795741817
sds-201,0.6174559014086906,0.632677806190829,-0.015221904782138473,-2.465261850669912,0.5737165987123107,0.5594042081286035,0.014312390583707257,2.494679536173605
sds-21,0.5995281566138457,0.6453868489679161,-0.04585869235407036,-7.649130711905464,0.5709366009289949,0.5547535285063359,0.01618307242265904,2.8344780132026717
sds-5,0.6316866409975022,0.6296120507572776,0.0020745902402246053,0.3284207873936673,0.585829885636052,0.5743895338930097,0.011440351743042254,1.952845360666628
sds-51,0.6257484952459363,0.6400759513742875,-0.01432745612835118,-2.2896509120201873,0.5762662430752387,0.5529924698833283,0.023273773191910374,4.038718816446741
