input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
ep-ms,multiscale,0.609844613266638,0.7270181042993326,0.660042410969626,0.8937551413507029,0.7037787646023669,0.8670014880952381,0.480081832419457,0.3619186600157492,0.3913060437519306,0.6909733953816986,0.4636839895572765,0.8411458333333334
ep-ms,multiscale_concat,0.5959231585002325,0.7159775323909401,0.6284469103674825,0.8618389933316358,0.6696876562585946,0.8424479166666666,0.5594696659913854,0.5656759793260112,0.5455681659186167,0.7755326760798644,0.5604296559835061,0.8531436011904762
ep-ms,multiscale_sa,0.6012633848616602,0.7140985054283339,0.6396937473247603,0.8885964686412818,0.7034012966303547,0.8584449404761905,0.4664860759128016,0.407747448823597,0.4076535542425228,0.7062808861706941,0.4875183391083332,0.8455171130952381
plc-ms,multiscale,0.5967030623374383,0.6265614947831536,0.6093330896392443,0.8486088693800096,0.6628336827880899,0.8555617559523809,0.4780813621447861,0.6117873416977702,0.5275728161886788,0.7660914391922853,0.5602703197136423,0.8386346726190477
plc-ms,multiscale_concat,0.502914409995467,0.699913316596473,0.5671862164700379,0.7471493760688197,0.5651319449503951,0.7703683035714286,0.4018224724696256,0.592627358040165,0.4630174540652998,0.6927312122336752,0.435826556658143,0.7433035714285714
plc-ms,multiscale_sa,0.5650349787391912,0.6497182664100832,0.5957616378446897,0.8494847455908542,0.6462179784910406,0.8351934523809523,0.465844094161875,0.6049240196125627,0.5161441854158185,0.7498667742075088,0.5555152139986678,0.8326822916666666
prc-ms,multiscale,0.622952641637327,0.7197058515458057,0.655987471796849,0.8836224726291396,0.6993668101776802,0.8754650297619048,0.5203604941437202,0.6899946384734653,0.584120869021105,0.8175450944238157,0.6343480000274642,0.8605840773809523
prc-ms,multiscale_concat,0.5837733708927902,0.7147335599695899,0.6261082858840802,0.7986146897264714,0.6434218443382826,0.8353794642857143,0.4739344401131943,0.707588996515925,0.5458879749336797,0.7621002369800695,0.5620160664833579,0.8098958333333334
prc-ms,multiscale_sa,0.6231692792284668,0.717102765316379,0.6582886520825768,0.8876624539837624,0.6966205998762579,0.8776041666666666,0.5199430421628116,0.6902934260857047,0.587446363569062,0.8266978702655078,0.6314037195273198,0.8618861607142857
s-ms,multiscale,0.5898967075913094,0.694395242449125,0.6345112037909201,0.8792177210226145,0.6847643272261327,0.8639322916666666,0.534651104889637,0.7242214795191666,0.6082202735386754,0.8222208939131761,0.646855951328497,0.8564918154761905
s-ms,multiscale_concat,0.5486711088047745,0.6863520695136389,0.5983015945565643,0.8236586603044761,0.6367096940522557,0.8364025297619048,0.5350118138623522,0.667088619408451,0.5904663702970324,0.7738676688744351,0.6040769971009475,0.8543526785714286
s-ms,multiscale_sa,0.6108430474616834,0.7510342176093463,0.6576518812927068,0.8926063341425851,0.692403764099654,0.8676525297619048,0.5433607508112082,0.7351658731126103,0.6189535490882835,0.8376924746778485,0.6402875952957301,0.8617931547619048
sds-ms,multiscale,0.5957996360143588,0.674124041745437,0.6303644531735577,0.8599870233191312,0.6767299125219519,0.8600260416666666,0.5297957421778638,0.6833223784572446,0.5887801607711787,0.7884432325128969,0.6101645341312031,0.8510974702380952
sds-ms,multiscale_concat,0.6070155278958378,0.6399284725129918,0.6117708851247264,0.7982543977364992,0.6275429399577527,0.8490513392857143,0.480361278789086,0.6220881877461787,0.5333644591616118,0.7349134732704069,0.5610663203093813,0.8441220238095238
sds-ms,multiscale_sa,0.5986266964761154,0.6600538827047059,0.6231469919138208,0.8664875677034928,0.6690509274890887,0.8607700892857143,0.5253576495133687,0.6517998211947098,0.57510178035246,0.8057173134522421,0.6001439654957725,0.8550967261904762
