Class,Threshold,n True,n Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,0.1330124,2.0,6.0,0.3333333333333333,1.0,0.0,0.5,0.375,0.41666666666666663,0.3333333333333333
Qal,0.96236086,5.0,4.0,0.75,0.6,0.0,0.6666666666666666,0.6,0.9266666666666665,0.5
Qaf,0.17533754,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334
Qat,0.26177037,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.3333333333333333,0.8333333333333334
Qc,0.5,3.0,6.0,0.5,1.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.5
Qca,0.5895556,2.0,6.0,0.3333333333333333,1.0,0.0,0.5,0.125,0.29166666666666663,0.3333333333333333
Qr,0.9842387,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,1.0
