MapUnit,n Targets,n Predictions,Precision,Recall,F1,AUC-ROC
af1 (0.39),370,564,0.5106382978723404,0.7783783783783784,0.6167023554603854,0.7810810810810811
Qal (0.41),642,773,0.741267787839586,0.8925233644859814,0.8098939929328622,0.8389032963089821
Qaf (0.15),10,22,0.18181818181818182,0.4,0.25,0.9228796844181459
Qat (0.28),49,109,0.22935779816513763,0.5102040816326531,0.31645569620253167,0.8743275771847201
Qc (0.48),484,508,0.8700787401574803,0.9132231404958677,0.8911290322580645,0.9668732782369146
Qca (0.41),295,279,0.7813620071684588,0.7389830508474576,0.759581881533101,0.9338215805259119
Qr (0.56),946,974,0.9537987679671458,0.9820295983086681,0.9677083333333333,0.9200276467718328
