Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.46),435,1487,0.2994791666666667,0.2844653665097512,0.9724137931034482,0.44016649323621226,0.30063793623643575,0.5324156722728554
Qal (0.59),845,1529,0.5494791666666666,0.5500327011118378,0.9952662721893492,0.7085088458298231,0.5517434097305406,0.5124662824651692
Qaf (0.31),6,118,0.9192708333333334,0.0,0.0,0.0,0.004126678262125256,0.47102396514161227
Qat (0.42),77,187,0.83984375,0.0481283422459893,0.11688311688311688,0.06818181818181818,0.05199466865326392,0.5148963442315053
Qc (0.66),456,1535,0.2962239583333333,0.2964169381107492,0.9978070175438597,0.45705675539929685,0.23477551345529196,0.36895508447043535
Qca (0.65),249,1535,0.16145833333333334,0.16156351791530946,0.9959839357429718,0.27802690582959644,0.10529230377558554,0.2746151661814312
Qr (0.47),1511,1530,0.9798177083333334,0.9836601307189542,0.9960291197882197,0.9898059848733969,0.9869347143855606,0.5130641958967571
