Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.43),571,625,0.7526041666666666,0.6528,0.7145359019264448,0.6822742474916388,0.7672751402566278,0.8203851074834625
Qal (0.47),949,1109,0.7291666666666666,0.7403065825067628,0.8651211801896733,0.7978620019436345,0.889240622442988,0.8167586071952364
Qaf (0.23),13,140,0.9069010416666666,0.03571428571428571,0.38461538461538464,0.06535947712418301,0.11347627191521956,0.8288297388757008
Qat (0.36),61,114,0.9212239583333334,0.23684210526315788,0.4426229508196721,0.30857142857142855,0.2108293823607368,0.8743317588218948
Qc (0.51),749,754,0.912109375,0.9071618037135278,0.9132176234979973,0.9101796407185628,0.9719897885555322,0.9707700059206431
Qca (0.47),432,508,0.84765625,0.6948818897637795,0.8171296296296297,0.7510638297872341,0.8546946822044781,0.923839657139023
Qr (0.43),1433,1493,0.93359375,0.9457468184862693,0.9853454291695743,0.9651401230348599,0.9915919141842607,0.8988678785086621
