Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.44),571,897,0.6888020833333334,0.5518394648829431,0.8669001751313485,0.6743869209809265,0.7239771722211812,0.8070905510739272
Qal (0.47),949,1445,0.64453125,0.639446366782007,0.9736564805057956,0.7719298245614035,0.6719849312936603,0.5861347818828391
Qaf (0.16),13,574,0.6295572916666666,0.0156794425087108,0.6923076923076923,0.030664395229982964,0.016705354401049147,0.7023081973837062
Qat (0.28),61,829,0.48046875,0.05548854041013269,0.7540983606557377,0.10337078651685393,0.0537485749022863,0.5856460127813281
Qc (0.44),749,1291,0.6080729166666666,0.5569326103795508,0.9599465954606141,0.7049019607843138,0.6464829089163617,0.7079290812145971
Qca (0.42),432,847,0.5475260416666666,0.3447461629279811,0.6759259259259259,0.45660672400312746,0.3471238306462461,0.6274794098899624
Qr (0.44),1433,1536,0.9329427083333334,0.9329427083333334,1.0,0.9653081845739306,0.9462553105232984,0.5572192223524549
