MapUnit,n Targets,n Predictions,Precision,Recall,F1,AUC-ROC
af1,367,282,0.7836879432624113,0.6021798365122616,0.6810477657935285,0.8662569104881823
Qal,632,692,0.75,0.8212025316455697,0.783987915407855,0.7702103784551795
Qaf,8,0,0.0,0.0,0.0,0.7785433070866141
Qat,34,1,0.0,0.0,0.0,0.7764408793820559
Qc,515,459,0.8910675381263616,0.7941747572815534,0.839835728952772,0.9350067713201213
Qca,296,218,0.7431192660550459,0.5472972972972973,0.6303501945525292,0.8721460127710128
Qr,944,990,0.9353535353535354,0.9809322033898306,0.9576008273009308,0.8876191737288136
