Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.46),435,422,0.759765625,0.5781990521327014,0.5609195402298851,0.5694282380396732,0.6365304463542985,0.7855303955651602
Qal (0.44),845,1032,0.6165364583333334,0.624031007751938,0.762130177514793,0.6862013851891315,0.7423860200761236,0.6832204420315297
Qaf (0.44),6,1,0.9954427083333334,0.0,0.0,0.0,0.0112376006823477,0.5278867102396514
Qat (0.32),77,76,0.9095052083333334,0.09210526315789473,0.09090909090909091,0.0915032679738562,0.07394656444670303,0.5293698761827618
Qc (0.45),456,621,0.865234375,0.7004830917874396,0.9539473684210527,0.807799442896936,0.9003435351427657,0.9548814165042235
Qca (0.42),249,272,0.8912760416666666,0.6507352941176471,0.7108433734939759,0.6794625719769674,0.6938197546825687,0.9130039973413467
Qr (0.5),1511,1536,0.9837239583333334,0.9837239583333334,1.0,0.9917952084017067,0.9931928389937392,0.6947452018530773
