MapUnit,Targets,Predictions,Precision,Recall,F1,AUROC
af1,361,293,0.7952218430034129,0.6454293628808865,0.7125382262996942,0.887412625395353
Qal,624,726,0.7286501377410468,0.8477564102564102,0.7837037037037037,0.7936858974358973
Qaf,11,0,0.0,0.0,0.0,0.8496814143408418
Qat,41,2,0.0,0.0,0.0,0.8771555467334938
Qc,521,479,0.9290187891440501,0.8541266794625719,0.89,0.9665729233047016
Qca,315,248,0.8467741935483871,0.6666666666666666,0.7460035523978685,0.9211946179506123
Qr,952,995,0.9437185929648241,0.9863445378151261,0.9645608628659477,0.9143907563025211
