Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.47),571,1465,0.4010416666666667,0.38088737201365186,0.9772329246935202,0.5481335952848723,0.38612854926672363,0.5464279556817873
Qal (0.0),949,1536,0.6178385416666666,0.6178385416666666,1.0,0.7637826961770624,0.6305479279416162,0.48941322615215876
Qaf (0.15),13,1527,0.014322916666666666,0.008513425016371971,1.0,0.016883116883116882,0.006003198518523865,0.29433304712359215
Qat (0.38),61,1530,0.043619791666666664,0.03986928104575163,1.0,0.07668133249528598,0.02522611222359516,0.26551264240066685
Qc (0.4),749,1536,0.4876302083333333,0.4876302083333333,1.0,0.6555798687089716,0.5977620343120256,0.49587336270469906
Qca (0.49),432,572,0.6041666666666666,0.34615384615384615,0.4583333333333333,0.3944223107569721,0.36228112399203566,0.5851166213768116
Qr (0.67),1433,1534,0.931640625,0.9328552803129074,0.9986043265875785,0.9646107178968655,0.873620538360543,0.24659719916801603
