Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.33),435,1519,0.2890625,0.2837393021724819,0.9908045977011494,0.44114636642784033,0.2876333812536658,0.5166734525561925
Qal (0.48),845,1486,0.541015625,0.5471063257065949,0.9621301775147929,0.6975546975546976,0.5637629874281084,0.49762628554791527
Qaf (0.15),6,0,0.99609375,0.0,0.0,0.0,0.011575845412550828,0.8080610021786492
Qat (0.5),77,0,0.9498697916666666,0.0,0.0,0.0,0.11033088301651517,0.5769829895943672
Qc (0.47),456,746,0.7838541666666666,0.5831099195710456,0.9539473684210527,0.7237936772046589,0.8858623784902389,0.9415732618583496
Qca (0.45),249,314,0.880859375,0.6050955414012739,0.7630522088353414,0.6749555950266429,0.7122709299866563,0.9081079563007274
Qr (0.38),1511,1536,0.9837239583333334,0.9837239583333334,1.0,0.9917952084017067,0.9859804264228877,0.5974056915949703
