Class,Threshold,n True,n Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,0.0,2.0,6.0,0.3333333333333333,1.0,0.0,0.5,0.75,0.5833333333333333,0.3333333333333333
Qal,0.27388078,5.0,6.0,0.8333333333333334,1.0,0.0,0.9090909090909091,0.8,0.9666666666666667,0.8333333333333334
Qaf,0.9965578,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8333333333333334
Qat,0.8297728,1.0,6.0,0.16666666666666666,1.0,0.0,0.2857142857142857,0.4,0.25,0.16666666666666666
Qc,0.5,3.0,6.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.5
Qca,2.1083616e-14,2.0,3.0,0.0,0.0,0.25,0.0,0.0,0.26666666666666666,0.16666666666666666
Qr,0.9987275,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,1.0
