Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.46),435,1498,0.3040364583333333,0.2883845126835781,0.993103448275862,0.4469736161407139,0.30259192381576083,0.5517867769112719
Qal (0.45),845,1536,0.5501302083333334,0.5501302083333334,1.0,0.7097858042839144,0.5076470713495813,0.4384906532852653
Qaf (0.26),6,1536,0.00390625,0.00390625,1.0,0.007782101167315175,0.0037939210859224155,0.43267973856209146
Qat (0.33),77,1511,0.06640625,0.050959629384513566,1.0,0.09697732997481108,0.11146263662786422,0.6748306525551213
Qc (0.44),456,1536,0.296875,0.296875,1.0,0.4578313253012048,0.17385688970374283,0.10788458414554906
Qca (0.0),249,1536,0.162109375,0.162109375,1.0,0.27899159663865547,0.31484675227748915,0.5676006278415917
Qr (0.64),1511,1535,0.9830729166666666,0.9837133550488599,0.99933818663137,0.9914642153644123,0.9652705645438555,0.263282594308405
