Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.46),571,1405,0.4348958333333333,0.3943060498220641,0.9702276707530648,0.5607287449392713,0.44294642340267193,0.6063600809415352
Qal (0.45),949,1534,0.6165364583333334,0.6173402868318123,0.9978925184404637,0.7627869512686266,0.5517447418207331,0.4328890987195344
Qaf (0.26),13,1530,0.012369791666666666,0.00849673202614379,1.0,0.016850291639662993,0.005239850602602956,0.17614525986160917
Qat (0.33),61,1441,0.09895833333333333,0.040943789035392086,0.9672131147540983,0.07856191744340879,0.03171170331954525,0.4211392053348152
Qc (0.44),749,1535,0.4869791666666667,0.48729641693811077,0.9986648865153538,0.6549912434325744,0.32091488245201744,0.1320634204352097
Qca (0.0),432,1536,0.28125,0.28125,1.0,0.43902439024390244,0.3362971547854986,0.49839074241814274
Qr (0.64),1433,1532,0.931640625,0.933420365535248,0.9979064898813678,0.9645868465430016,0.9022701539150417,0.33756326262373054
