Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.43),571,1522,0.3782552083333333,0.37385019710906703,0.9964973730297724,0.5437171524128046,0.41110291788357145,0.5486111993321415
Qal (0.51),949,1533,0.6171875,0.6177429876060013,0.9978925184404637,0.7630942788074134,0.7683814637129629,0.654542663935677
Qaf (0.31),13,49,0.9609375,0.02040816326530612,0.07692307692307693,0.03225806451612903,0.027894927557118775,0.6823829486337694
Qat (0.35),61,78,0.9251302083333334,0.15384615384615385,0.19672131147540983,0.17266187050359713,0.11583024488535057,0.7817727146429563
Qc (0.46),749,1430,0.5201822916666666,0.5041958041958042,0.9626168224299065,0.6617714547957779,0.5888598212889637,0.6179972279854716
Qca (0.39),432,1151,0.455078125,0.32406602953953084,0.8634259259259259,0.47125710675931776,0.38880582899100635,0.6302020430756844
Qr (0.58),1433,1494,0.9186197916666666,0.9377510040160643,0.9776692254012561,0.9572941578407926,0.961251349732476,0.6968272142765195
