Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.4),435,808,0.6204427083333334,0.4084158415841584,0.7586206896551724,0.5309734513274337,0.5441760427885595,0.738885234948375
Qal (0.41),845,1523,0.5533854166666666,0.5521996060407092,0.9952662721893492,0.7103040540540541,0.6009506204641448,0.5655777151713921
Qaf (0.28),6,22,0.9817708333333334,0.0,0.0,0.0,0.0034195367829486494,0.3473856209150326
Qat (0.25),77,329,0.7799479166666666,0.1033434650455927,0.44155844155844154,0.16748768472906403,0.1157210736754279,0.6834070658608014
Qc (0.43),456,623,0.8587239583333334,0.6918138041733547,0.9451754385964912,0.798887859128823,0.9313457801169143,0.9659498862897985
Qca (0.41),249,456,0.8170572916666666,0.4649122807017544,0.8514056224899599,0.601418439716312,0.6079764932740321,0.8941250627997616
Qr (0.56),1511,1526,0.9772135416666666,0.9836173001310616,0.9933818663136995,0.9884754692130392,0.9960391974070328,0.8076770350761084
