Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.47),571,1199,0.4869791666666667,0.40950792326939117,0.8598949211908932,0.5548022598870056,0.4154348418273354,0.5760623576490658
Qal (0.48),949,1534,0.6165364583333334,0.6173402868318123,0.9978925184404637,0.7627869512686266,0.583304933369339,0.4531821355932812
Qaf (0.14),13,1531,0.01171875,0.008491182233834096,1.0,0.01683937823834197,0.007976129500238382,0.3851204606293248
Qat (0.31),61,94,0.9029947916666666,0.031914893617021274,0.04918032786885246,0.03870967741935484,0.0386362985648294,0.4558210614059461
Qc (0.31),749,1535,0.4869791666666667,0.48729641693811077,0.9986648865153538,0.6549912434325744,0.37668967827041694,0.2522982782634364
Qca (0.0),432,1536,0.28125,0.28125,1.0,0.43902439024390244,0.19026549269504472,0.2628258353462158
Qr (0.67),1433,1535,0.9322916666666666,0.9328990228013029,0.9993021632937893,0.9649595687331537,0.9031763557649659,0.3453377055400104
