Class,Decision Threshold,num True,num Predicted,Precision,Recall,Specificity,F1,AUC,AP,Accuracy
af1,0.22046295,571.0,1296.0,0.41280864197530864,0.9369527145359019,0.21139896373056996,0.5731119442956615,0.6455650027676196,0.5116774123738501,0.4811197916666667
Qal,0.47519377,950.0,1302.0,0.6620583717357911,0.9073684210526316,0.24914675767918087,0.7655417406749556,0.7345428417460032,0.8300073930475045,0.65625
Qaf,0.07737679,13.0,62.0,0.03225806451612903,0.15384615384615385,0.9606040709126723,0.05333333333333334,0.8380221223294106,0.05146284167479153,0.9537760416666666
Qat,0.081201635,61.0,178.0,0.16853932584269662,0.4918032786885246,0.8996610169491526,0.2510460251046025,0.8149819394276188,0.16958390542141705,0.8834635416666666
Qc,0.29559755,749.0,825.0,0.8181818181818182,0.9012016021361816,0.8094027954256671,0.8576874205844981,0.9462324183197249,0.9489776138325975,0.8541666666666666
Qca,0.38916713,432.0,413.0,0.7070217917675545,0.6759259259259259,0.8903985507246377,0.6911242603550296,0.8864776234567902,0.77742406210805,0.830078125
Qr,0.40763658,1433.0,1532.0,0.9340731070496083,0.9986043265875785,0.019417475728155338,0.9652613827993255,0.8848840439298369,0.9904522082274582,0.9329427083333334
