train loss,train accuracy,train time,val loss,val accuracy
0.4071745276451111,79.7375717163086,0.45,0.3802793025970459,81.54761505126953
0.3796459138393402,81.24151611328125,0.23,0.5204033851623535,78.62723541259766
0.3713705837726593,81.78300476074219,0.23,0.3707776665687561,80.87797546386719
0.36472034454345703,82.35164642333984,0.23,0.3735632300376892,82.4776840209961
0.3555820882320404,82.75054931640625,0.23,0.3521345257759094,83.29613494873047
0.35033923387527466,83.14604949951172,0.23,0.5550689101219177,78.23661041259766
0.3425581455230713,83.4448013305664,0.23,0.3373931050300598,83.3891372680664
0.3396357595920563,83.67904663085938,0.23,0.3450319468975067,83.85417175292969
0.3380039930343628,83.57720184326172,0.23,0.3309928774833679,83.12872314453125
0.3353801965713501,83.80975341796875,0.23,0.3399544656276703,83.87277221679688
0.3346474766731262,83.89462280273438,0.23,0.33891981840133667,83.85417175292969
0.3304492235183716,84.03211975097656,0.23,0.3349694609642029,84.18899536132812
0.3275710344314575,84.20526123046875,0.23,0.31586015224456787,84.98883819580078
0.3256298899650574,84.24768829345703,0.23,0.32921111583709717,84.87723541259766
0.3257177174091339,84.32917022705078,0.23,0.3278772532939911,84.00297546386719
0.32343754172325134,84.63131713867188,0.23,0.31873273849487305,84.78422546386719
0.3215693533420563,84.58209228515625,0.23,0.33898863196372986,83.3891372680664
0.32610416412353516,84.39027404785156,0.23,0.32671552896499634,84.67261505126953
0.3218579590320587,84.69242095947266,0.23,0.3755803108215332,82.55208587646484
