Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.49),435,1488,0.291015625,0.28024193548387094,0.9586206896551724,0.43369734789391573,0.2796565236913885,0.483823483353691
Qal (0.03),845,1536,0.5501302083333334,0.5501302083333334,1.0,0.7097858042839144,0.556327021225783,0.5048818708843199
Qaf (0.37),6,280,0.81640625,0.007142857142857143,0.3333333333333333,0.013986013986013986,0.00909322467216801,0.5936819172113289
Qat (0.41),77,339,0.7565104166666666,0.061946902654867256,0.2727272727272727,0.10096153846153846,0.05485989705654596,0.4799987538164372
Qc (0.01),456,1536,0.296875,0.296875,1.0,0.4578313253012048,0.3195960988950539,0.5286620776478232
Qca (0.48),249,1520,0.17122395833333334,0.1631578947368421,0.9959839357429718,0.28038439796495196,0.1528395299480051,0.47877914142974387
Qr (0.59),1511,1533,0.9817708333333334,0.9836921069797782,0.9980145598941098,0.9908015768725361,0.978964810158892,0.46972865651886164
