Class,Targets,Predictions,Accuracy,Precision,Recall,F1,AP,AUROC
af1 (0.42),571,1138,0.525390625,0.4305799648506151,0.8581436077057794,0.5734347571679345,0.5216619906201782,0.6550039472609639
Qal (0.45),949,1192,0.6764322916666666,0.6895973154362416,0.8661749209694415,0.7678654834189631,0.8605740006600887,0.7773483430060874
Qaf (0.36),13,14,0.982421875,0.0,0.0,0.0,0.03528834462406123,0.8321127329663114
Qat (0.3),61,212,0.8665364583333334,0.16037735849056603,0.5573770491803278,0.2490842490842491,0.1785188805391415,0.8418782995276466
Qc (0.48),749,803,0.8997395833333334,0.8704856787048568,0.9332443257676902,0.9007731958762887,0.9673839179511665,0.9679318294786949
Qca (0.45),432,473,0.8561197916666666,0.7230443974630021,0.7916666666666666,0.7558011049723757,0.8473225415159735,0.9252843196457328
Qr (0.56),1433,1482,0.9368489583333334,0.9507422402159245,0.9832519190509421,0.9667238421955403,0.9862605815957557,0.8489420660031572
